"palabraClave";"Cluster";"PCA";"MDS";"PCoA";"CCA";"RDA";"MANOVA";"Mantel";"ANOSIM";"CVA"
"Bacter";553;434;51;5;37;21;15;5;10;13
"Microb";82;72;7;2;4;4;2;3;1;2
"Plant";1344;950;153;57;517;123;63;77;20;30
"Fung";304;153;16;6;48;16;5;6;1;8
"Fish";441;493;143;4;198;40;53;42;34;18
"Bird";176;88;23;3;91;15;9;18;2;4
"Insect";346;87;39;5;73;28;22;19;7;11
