"numero";"apellidos";"nombres";"fecha_nac";"edad";"nacionalidad";"estatura";"peso";"posición";"Equipo"
"DT";"Úbeda";"Claudio Fernando";17/09/79;37;"Argentina";1,8;77;"Director técnico";"Argentina"
12;"Cambeses";"Facundo";09/04/97;19;"Argentina";1,85;78;"Arquero";"Argentina"
1;"Macagno";"Ramiro";18/03/1997;19;"Argentina";1,85;77;"Arquero";"Argentina"
23;"Petroli";"Franco";11/06/1998;18;"Argentina";1,81;72;"Arquero";"Argentina"
13;"Foyth";"Juan Marcos";12/01/1998;19;"Argentina";1,79;69;"Defensor";"Argentina"
6;"Martinez";"Lisandro";18/01/1998;19;"Argentina";;;"Defensor";"Argentina"
4;"Lucero";"Nahuel Molina";02/12/1997;19;"Argentina";1,77;69;"Defensor";"Argentina"
2;"Romero";"Cristian Gabriel";27/04/1998;18;"Argentina";1,85;;"Defensor";"Argentina"
3;"Valenzuela";"Milton";13/08/1998;18;"Argentina";;;"Defensor";"Argentina"
14;"Zalazar";"Nicolas";29/01/1997;19;"Argentina";1,75;;"Defensor";"Argentina"
5;"Ascacibar";"Santiago";25/02/1997;19;"Argentina";1,67;68;"Volante";"Argentina"
10;"Barco";"Ezequiel";29/03/1999;17;"Argentina";;;"Volante";"Argentina"
17;"Belmonte";"Tomás";27/05/1998;18;"Argentina";;;"Volante";"Argentina"
16;"Chicco";"Julián";13/01/1998;19;"Argentina";1,81;79;"Volante";"Argentina"
11;"Mansilla";"Brian Ezequiel";16/04/1997;19;"Argentina";1,81;70;"Volante";"Argentina"
15;"Moyano";"Franco";13/09/1997;19;"Argentina";;;"Volante";"Argentina"
8;"Ojeda";"Pedor Emmanuel";05/11/1997;19;"Argentina";;;"Volante";"Argentina"
18;"Pereyra";"Joaquin";01/12/1998;18;"Argentina";1,81;71;"Volante";"Argentina"
7;"Rodriguez";"Lucas";27/04/1997;19;"Argentina";1,68;64;"Volante";"Argentina"
19;" Zaracho";"Matias";30/03/1998;18;"Argentina";1,72;64;"Volante";"Argentina"
20;"Conechny";"Tomás";31/03/1998;18;"Argentina";1,68;65;"Delantero";"Argentina"
9;"Martinez";"Lautaro";22/08/1997;19;"Argentina";1,72;79;"Delantero";"Argentina"
22;"Miérez";"Ramón Nazareno";13/05/1997;19;"Argentina";;;"Delantero";"Argentina"
21;"Torres";"Marcelo";06/11/1997;19;"Argentina";;;"Delantero";"Argentina"
;"Sandy Sandusty";"Marco Antonio";29/08/1971;45;"Bolivia";;;"Director técnico";"Bolivia"
23;"Careaga";"Jesús Enrique";09/05/1997;19;"Bolivia";;;"Arquero";"Bolivia"
12;"Claros";"Leonardo";03/04/1998;18;"Bolivia";;;"Arquero";"Bolivia"
1;"Cordano";"Rubén";16/10/1998;18;"Bolivia";1,85;74;"Arquero";"Bolivia"
2;"Mercado";"Juan";06/01/1997;20;"Bolivia";;;"Defensor";"Bolivia"
3;"Carrasco";"Jose Maria";16/08/1997;19;"Bolivia";;;"Defensor";"Bolivia"
16;"Céspedes Velasco";"Harry ";21/07/1998;18;"Bolivia";;69;"Defensor";"Bolivia"
5;"Haquim";"Luis";15/11/1997;19;"Bolivia";;;"Defensor";"Bolivia"
4;"Reyes";"Juan Sebastian";12/03/1997;19;"Bolivia";;;"Defensor";"Bolivia"
6;"Torrico Landivar";"Brandon";30/09/1998;18;"Bolivia";;67;"Defensor";"Bolivia"
20;"Gutierrez Mojica";"Limberg";18/06/1998;18;"Bolivia";1,76;;"Volante";"Bolivia"
