"numero";"apellidos";"nombres";"fecha_nac";"edad";"nacionalidad";"estatura";"peso";"posición";"Equipo"
11;"De La Cruz";"Nicolás ";01/06/97;19;"Uruguay";1,67;65;"Volante";"Uruguay"
10;"Amaral";"Rodrigo Nahuel ";25/03/97;19;"Uruguay";1,76;81;"Dealantero";"Uruguay"
7;"Ardaiz";"Joaquín";11/01/99;18;"Uruguay";1,83;81;"Dealantero";"Uruguay"
19;"Canobbio";"Agustín ";01/10/98;18;"Uruguay";;;"Dealantero";"Uruguay"
16;"Rossi";"Diego ";05/03/98;18;"Uruguay";1,7;66;"Dealantero";"Uruguay"
9;"Schiappacasse";"Nicolás ";12/01/99;18;"Uruguay";1,8;73;"Dealantero";"Uruguay"
"DT";"Dudamel";"Rafael Edgar ";07/01/73;44;"Venezuela";;;"Dealantero";"Venezuela"
1;"Fariñez Aray";"Wuilker ";15/02/98;18;"Venezuela";1,75;84;"Arquero";"Venezuela"
12;"Graterol";"Joel ";13/02/97;19;"Venezuela";1,86;76;"Arquero";"Venezuela"
22;"Sánchez";"Rafael ";01/02/98;18;"Venezuela";1,88;74;"Arquero";"Venezuela"
4;"Ferraresi";"Nahuel ";19/11/98;18;"Venezuela";;;"Defensor";"Venezuela"
21;"Garcia";"Juan";11/10/98;18;"Venezuela";1,78;68;"Defensor";"Venezuela"
5;"Hernández";"José ";26/06/97;19;"Venezuela";1,64;;"Defensor";"Venezuela"
20;"Hernández";"Ronald";04/10/97;19;"Venezuela";1,72;70;"Defensor";"Venezuela"
17;"Mejías";"Josué ";09/06/97;19;"Venezuela";1,85;73;"Defensor";"Venezuela"
13;"Notaroberto Peci";"Sandro ";10/03/98;18;"Venezuela";1,83;75;"Defensor";"Venezuela"
3;"Quero";"Edwin ";22/04/97;19;"Venezuela";1,81;70;"Defensor";"Venezuela"
2;"Velásquez";"William ";04/04/97;19;"Venezuela";1,88;78;"Defensor";"Venezuela"
23;"Córdova";"Sergio ";09/07/97;19;"Venezuela";;;"Volante";"Venezuela"
14;"García";"Heber ";27/03/97;19;"Venezuela";1,69;65;"Volante";"Venezuela"
8;"Herrera";"Yangel ";07/01/98;19;"Venezuela";1,82;62;"Volante";"Venezuela"
16;"Lucena";"Ronaldo ";27/02/97;19;"Venezuela";1,67;64;"Volante";"Venezuela"
6;"Rivas";"Cristhian ";20/01/97;20;"Venezuela";;;"Volante";"Venezuela"
18;"Ruiz";"Luis ";03/08/97;19;"Venezuela";1,69;67;"Volante";"Venezuela"
15;"Saggiomo";"Daniel";02/07/98;18;"Venezuela";1,65;50;"Volante";"Venezuela"
10;"Soteldo";"Yeferson";30/06/96;20;"Venezuela";1,78;68;"Volante";"Venezuela"
7;"Balza";"José";15/05/97;19;"Venezuela";1,78;75;"Delantero";"Venezuela"
11;"Chacón";"Ronaldo ";18/01/98;19;"Venezuela";1,83;79;"Delantero";"Venezuela"
9;"Peña";"Ronaldo ";10/03/97;19;"Venezuela";1,83;78;"Delantero";"Venezuela"
19;"Romero";"Antonio";16/01/97;20;"Venezuela";1,72;67;"Delantero";"Venezuela"
