"Fecha";"Ingreso";"Precio"
01/01/14;7576;2120
01/02/14;7525;2120
01/03/14;8712;2120
01/04/14;9025;2120
01/05/14;8762;2120
01/06/14;9120;2120
01/07/14;9132;2220
01/08/14;9132;2220
01/09/14;9132;2240
01/10/14;10233;2230
01/11/14;10131;2240
01/12/14;10291;2720
03/01/15;;2910
10/01/15;;3020
17/01/15;;3060
24/01/15;;3090
31/01/15;;3190
07/02/15;;3190
14/02/15;;3150
