"Encuesta";"Género";"Edad";"Carrera";"Semestre";"Estrato";"PAPA";"Tiempo universidad";"Hora llegada";"Tiempo estudio ED";"Asignaturas";"Tiempo estudio";"Casa";"Otro lugar";"Notas lineales";"Horario";"Música";"Lugar fijo";"Libro";"Temas distintos";"Amigos";"Pausas";"Trasnocha";"Subraya";"Dormir";"Notas margen";"Mermoriza";"Ejercicios";"Solucionarios";"No solucionarios";"Tiempo deporte";"Tiempo trabajo";"Número "
42;"F";18;"E";2;3;3,7;30;08:02;10;5;40;0;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0;5;0;10
43;"F";17;"E";2;3;3,8;55;08:10;14;4;30;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;2;6
44;"M";20;"IS";3;2;3,5;30;06:03;10;4;44;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;3;0;7
45;"M";19;"IS";5;5;3,4;30;08:00;4;6;27;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;2;0;8
46;"M";20;"E";3;4;4,4;30;07:45;8;5;30;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;8;36;5
47;"F";17;"E";2;2;4;45;08:03;25;4;10;1;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;1;0;6;0;7
48;"M";18;"IS";2;5;3,8;20;08:10;3;5;20;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0,5;0;9
49;"M";17;"E";2;2;3,4;10;05:39;;4;4;1;0;1;0;1;0;1;1;0;1;1;1;0;0;1;0;0;0;6;;7
50;"M";18;"E";2;3;3,7;26;07:47;18;4;12;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;4;0;1
51;"M";18;"E";3;2;4,3;40;07:53;10;5;80;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;13;0;9
52;"M";17;"E";2;2;3,6;30;05:50;5;4;20;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;1;1;0;2;0;5
53;"M";18;"IS";3;3;3,4;50;07:50;16;6;48;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;1;0;0;4;10;8
54;"F";17;"E";2;3;3,9;60;08:05;4;4;30;1;1;1;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;6;16;8
55;"M";18;"IS";3;4;3,9;30;08:05;4;5;20;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;12;0;6
56;"M";18;"IS";3;3;4,1;40;07:50;8;5;24;1;0;1;0;1;0;0;0;1;1;0;1;0;1;0;1;0;0;2;0;5
57;"M";19;"IS";3;3;3,8;40;07:55;25;5;25;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;4;6;4
58;"F";23;"E";2;2;3,9;50;08:01;8;4;30;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;7
59;"M";19;"IS";4;5;3,1;20;07:50;5;5;30;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;3;0;3
60;"M";18;"IS";3;4;3,1;14;05:40;6;4;22;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;11;;2
61;"M";19;"E";5;3;3,7;30;07:30;15;5;15;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;0;0;5;0;1
62;"M";26;"IS";6;3;3,4;70;08:10;6;6;25;0;1;1;0;1;1;1;1;0;1;0;0;1;1;1;1;1;0;4;6;7
63;"M";21;"IS";3;3;3,3;15;07:55;3;5;24;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;2;0;6
64;"M";23;"E";3;5;4,3;25;08:00;2;5;8;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;1;0;4;0;7
65;"M";20;"IS";4;4;3,3;30;05:30;8;5;34;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;1;1;0;4;0;7
66;"M";22;"IS";2;3;3,4;30;07:30;18;4;72;0;1;1;0;1;1;1;0;0;1;1;1;0;1;0;0;1;0;0;0;7
67;"M";23;"IS";2;4;3,5;15;06:04;12;5;70;1;0;1;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;4;0;7
68;"M";24;"IS";3;2;3,5;30;07:45;2;5;12;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;3
69;"M";23;"IS";2;4;3,3;10;05:50;4;6;20;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;10;0;2
70;"M";17;"E";2;3;3,6;45;07:55;8;4;14;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;;;4
71;"M";19;"IS";4;3;3,6;40;07:43;4;4;18;1;0;1;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;10
72;"M";18;"IS";4;4;3,8;25;08:10;5;5;40;0;1;0;1;1;0;0;1;1;1;0;1;1;0;0;1;0;0;4;0;7
73;"M";20;"IS";8;2;3,9;65;08:09;3;6;15;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;2;30;6
74;"M";22;"E";7;5;4,2;60;08:30;1;4;4;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;5
