;"Taller Individual 1";;;;;;;;;;;;;;;;;;;;;;
;"Estadística descriptiva y análisis exploratorio de datos";;;;;;;;;;;;;;;;;;;;;;
;"Encuesta";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
"Nro Enc";"Genero";"Edad";"Carrera";"Semestre";"Estrato";"PAPA";"T de llegada";"Llegada";"Asignaturas";"Estudio";"Deporte";"Sueño";"Trabajo";"Internet";"Contactos";"Luna";"FBI";"Clima";"Vacunas";"Cancer";"NSA";"Sífilis";"Número"
;;;;;;;;;;;;;;;;;;;;;;;
26;"M";17;"Ing. Sistemas";3;5;3,6;30;06:45;4;20;0;63;0;52;103;0;0;1;0;0;1;1;6
25;"M";18;"Ing. Sistemas";3;2;3,5;60;07:15;5;20;2;30;0;50;200;0;0;0;0;0;0;1;2
24;"M";24;"Estadística ";2;1;3,8;20;07:50;4;30;10;40;10;10;1;1;1;1;1;1;1;1;9
23;"M";18;"Ing. Sistemas";3;2;3,9;20;06:20;4;12;0;50;27;8;1200;0;1;0;0;1;1;1;3
22;"F";25;"Estadística ";4;2;3,2;20;07:55;3;6;0;42;24;14;30;0;1;0;0;0;1;0;10
21;"M";20;"Estadística ";2;4;4;14;08:11;5;5;20;54;16;3;450;1;1;0;1;0;1;1;4
20;"M";20;"Ing. Sistemas";5;3;3,3;25;07:40;5;28;0;42;0;14;700;0;1;0;0;0;1;1;10
19;"M";19;"Ing. Sistemas";6;3;3,3;15;08:03;4;10;8;42;0;42;400;0;0;0;0;0;1;0;9
18;"M";23;"Estadística ";2;4;3,8;45;06:59;4;0;0;28;24;112;0;0;1;0;0;0;1;1;1
17;"M";26;"Estadística ";2;4;3,3;20;05:55;4;28;4;41;40;8;;0;0;0;0;1;0;0;4
16;"M";24;"Estadística ";2;2;3,6;50;08:07;5;18;5;46;20;10;300;0;0;1;0;1;0;0;7
15;"F";18;"Estadística ";2;2;40;45;05:45;4;15;1;50;0;56;250;0;1;0;1;1;1;0;3
14;"M";18;"Estadística ";3;2;3,7;15;07:45;3;20;0;49;0;15;35;0;0;1;0;0;1;0;7
13;"F";18;"Estadística ";2;4;3,2;50;05:50;4;20;6;35;;5;300;0;0;1;0;0;1;0;6
12;"M";19;"Ing. Sistemas";5;4;4,2;20;07:50;5;15;0;42;0;38;900;0;1;0;0;0;0;0;2
11;"M";19;"Ing. Sistemas";5;4;3,6;40;07:50;5;20;0;49;0;40;200;0;1;1;0;0;1;1;9
10;"M";20;"Estadística ";2;2;4;40;08:10;5;20;2;46,5;0;13;500;0;0;0;0;0;0;1;3
9;"F";19;"Estadística ";2;3;3,1;60;08:15;4;25;6;9;0;20;600;0;0;1;0;0;0;0;8
8;"M";19;"Estadística ";5;3;3,5;15;08:15;5;5;6;24;36;2;;0;1;0;0;1;0;0;2
7;"M";18;"Ing. Sistemas";3;3;3,7;10;07:55;5;20;8;35;0;8;200;1;1;0;1;1;1;1;3
6;"M";19;"Ing. Sistemas";4;1;3,5;40;07:40;5;24;3;7;0;15;1000;0;1;0;0;0;0;0;9
5;"F";18;"Estadística ";2;2;4;90;07:34;5;70;4;49;0;5;105;0;0;0;0;1;1;0;3
4;"M";19;"Estadística ";2;3;3,9;45;07:30;4;24;2;42;8;2;349;0;0;1;0;0;0;0;7
3;"M";40;"Ing. Sistemas";6;3;3,5;45;07:45;4;36;4;49;16;4;;0;0;0;1;1;1;0;7
2;"M";20;"Estadística ";2;3;3,7;10;08:00;4;15;2;49;;;30;0;1;0;0;0;0;0;
1;"F";18;"Estadística ";2;4;3,9;20;08:00;4;20;3;49;0;20;1000;0;0;0;0;1;0;0;8
