tipo;desempleo;ano
abril;10,9;2012
abril;10,2;2013
abril;9;2014
abril;9,5;2015
abril;9;2016
abril;8,9;2017
abril;9,5;2018
abril;10,3;2019
febrero_abril;11;2012
febrero_abril;10,7;2013
febrero_abril;9,8;2014
febrero_abril;8,9;2015
febrero_abril;9,7;2016
febrero_abril;9,7;2017
febrero_abril;9,9;2018
febrero_abril;11;2019
Medellín;12,9;2012
Medellín;13,1;2013
Medellín;10,4;2014
Medellín;11,8;2015
Medellín;11,1;2016
Medellín;10,8;2017
Medellín;12,6;2018
Medellín;12,7;2019
