timestamp,AccX,AccY,AccZ
1569277058630,,,9.412803649902344
1569277058631,-0.6212953329086304,1.8997989892959595,
1569277058643,-0.5973533391952515,1.7753005027770996,9.340977668762207
1569277058705,-0.6500257849693298,1.698686122894287,9.17817211151123
1569277058731,-0.7026981711387634,1.9189527034759521,9.436745643615723
1569277058760,,,9.283516883850098
1569277058761,-0.7218518257141113,1.8806453943252563,
1569277058803,-0.7362170219421387,1.8997989892959595,9.336189270019531
1569277058843,,,9.226056098937988
1569277058844,-0.6883329749107361,1.7944542169570923,
1569277058886,,,9.350554466247559
1569277058887,,1.8614917993545532,
1569277058888,-0.6835445761680603,,
1569277058927,-0.6883329749107361,1.890222191810608,9.288305282592773
1569277058967,-0.7218518257141113,1.923741102218628,9.3026704788208
1569277059011,-0.7266402244567871,1.8519150018692017,9.321824073791504
1569277059062,-0.7362170219421387,1.7848774194717407,9.259574890136719
1569277059084,,1.8614917993545532,9.278728485107422
1569277059085,-0.7266402244567871,,
1569277059128,-0.7410054206848145,1.8614917993545532,9.26915168762207
1569277059189,-0.6931213736534119,1.8279730081558228,9.312247276306152
1569277059213,-0.707486629486084,1.7753005027770996,9.345766067504883
1569277059271,-0.6165069341659546,1.7561469078063965,9.36013126373291
1569277059322,-0.5734112858772278,1.722628116607666,9.41759204864502
1569277059325,-0.5446808934211731,1.6891093254089355,9.441534042358398
1569277059366,,1.6364368200302124,9.412803649902344
1569277059367,-0.5829881429672241,,
1569277059422,,,9.39365005493164
1569277059423,-0.5973533391952515,1.6316484212875366,
1569277059468,,,9.446322441101074
1569277059469,-0.5925649404525757,1.722628116607666,
1569277059495,-0.7649474143981934,1.4401123523712158,9.321824073791504
1569277059536,-0.7793126702308655,1.8327614068984985,9.422380447387695
1569277059592,,,9.192537307739258
1569277059593,-0.7745242714881897,1.746570110321045,
1569277059620,-0.8367735147476196,1.6747441291809082,9.288305282592773
1569277059666,-0.7793126702308655,1.646013617515564,9.230844497680664
1569277059693,-0.7793126702308655,1.5885528326034546,9.135076522827148
1569277059733,-0.6739677786827087,1.7848774194717407,9.20211410522461
1569277059792,-0.4967968463897705,1.765723705291748,8.886079788208008
1569277059826,-0.46806642413139343,1.923741102218628,9.154230117797852
1569277059852,-0.45848962664604187,2.2589292526245117,9.613917350769043
1569277059894,-0.3579331636428833,2.316390037536621,8.450334548950195
1569277059930,,,8.684967041015625
1569277059931,-0.4728548228740692,2.6180596351623535,
1569277060004,,,9.733627319335938
1569277060005,-0.9564836025238037,2.718616008758545,
1569277060052,-0.970848798751831,3.307589530944824,9.187748908996582
1569277060118,,,8.268375396728516
1569277060119,,2.9867665767669678,
1569277060120,-0.46806642413139343,,
1569277060142,-0.6404489278793335,3.2309751510620117,8.26358699798584
1569277060183,-1.1336544752120972,3.2166099548339844,8.177395820617676
1569277060213,-1.1049240827560425,3.1974563598632812,8.866926193237305
1569277060260,-1.478419542312622,3.465606927871704,9.838972091674805
1569277060297,-1.0426748991012573,4.025850296020508,10.451887130737305
1569277060362,-1.1001356840133667,3.7385458946228027,10.533289909362793
1569277060390,-1.5502456426620483,2.8622682094573975,10.811017990112305
1569277060429,,,9.364919662475586
1569277060430,-0.05626374110579491,2.474407434463501,
1569277060457,-0.9660604000091553,1.8997989892959595,9.460687637329102
1569277060520,-1.3204022645950317,1.6077064275741577,8.04810905456543
1569277060553,-1.646013617515564,1.6412252187728882,8.507795333862305
1569277060581,-1.8710685968399048,2.1487960815429688,10.054450035095215
1569277060634,-1.4257471561431885,2.5797524452209473,10.107122421264648
1569277060661,,,8.469488143920898
1569277060662,-0.09935937076807022,2.6850972175598145,
1569277060701,-0.14245499670505524,2.364274263381958,7.138312339782715
1569277060737,-0.34835633635520935,2.584540843963623,7.909245491027832
1569277060787,-0.4010287821292877,2.3930046558380127,8.301894187927246
1569277060856,,2.4361002445220947,8.38808536529541
1569277060857,-0.5015852451324463,,
1569277060858,-0.6787561774253845,3.207033157348633,9.206902503967285
1569277060923,-0.13287819921970367,3.4847605228424072,8.29710578918457
1569277060951,-0.12330138683319092,2.895787000656128,9.824606895446777
1569277060993,,,10.092757225036621
1569277060994,0.20949265360832214,2.8574798107147217,
1569277061021,0.27653029561042786,3.1495723724365234,9.882067680358887
1569277061061,0.5542576909065247,2.0195090770721436,11.385625839233398
1569277061132,0.13287819921970367,0.707486629486084,10.791864395141602
1569277061160,0.43933600187301636,1.358709454536438,9.6618013381958
1569277061204,1.5693992376327515,1.8327614068984985,7.511807918548584
1569277061232,0.333991140127182,1.2964602708816528,8.593987464904785
1569277061266,-1.047463297843933,2.0242974758148193,9.858125686645508
1569277061336,,2.5270798206329346,8.847772598266602
1569277061337,-0.30047231912612915,,
1569277061368,0.52552729845047,2.1583728790283203,7.444770336151123
1569277061392,0.5925649404525757,2.1535844802856445,7.712920665740967
1569277061432,0.37229835987091064,1.8088194131851196,8.87171459197998
1569277061517,0.23822307586669922,1.84233820438385,7.904457092285156
1569277061545,-0.5015852451324463,4.131195068359375,9.48462963104248
1569277061587,-0.5494692921638489,3.072957992553711,8.862137794494629
1569277061657,-0.3531447649002075,2.3546974658966064,9.216479301452637
1569277061704,0.04189852997660637,3.1735143661499023,10.226832389831543
1569277061768,-1.6603789329528809,1.258152961730957,10.08318042755127
1569277061795,2.340332269668579,1.7082629203796387,7.262810707092285
1569277061838,-3.9013516902923584,3.3267433643341064,7.262810707092285
1569277061865,,,9.125499725341797
1569277061866,-4.432864665985107,1.8088194131851196,
1569277061908,-1.9764134883880615,1.746570110321045,9.657012939453125
1569277061979,1.1815385818481445,1.7705121040344238,9.633070945739746
1569277062005,1.2485761642456055,2.632424831390381,6.750451564788818
1569277062033,-1.138442873954773,0.8990227580070496,7.133523941040039
1569277062068,-4.882974147796631,-0.9995791912078857,4.423287868499756
1569277062118,-5.476736545562744,-1.6843209266662598,3.508702516555786
1569277062152,,,1.5167267322540283
1569277062153,-6.266822814941406,-0.5877765417098999,
1569277062211,,,-0.1711854189634323
1569277062212,-6.918045997619629,-1.9620482921600342,
1569277062238,-8.32104778289795,-2.7473464012145996,-2.4217350482940674
