timestamp,AccY,AccZ,AccX
1509400371728,2.2206220626831055,,
1509400371729,,9.513360023498535,-0.1711854189634323
1509400371771,2.139219284057617,,
1509400371772,,9.005789756774902,-0.0035913025494664907
1509400371794,2.0817582607269287,9.029731750488281,0.03232172131538391
1509400371834,2.033874273300171,9.197325706481934,-0.04668693244457245
1509400371873,2.005143880844116,,
1509400371874,,9.149441719055176,-0.0035913025494664907
1509400371916,2.0386626720428467,,
1509400371917,,8.96269416809082,0.16639702022075653
1509400371954,2.273294448852539,9.077615737915039,0.152031809091568
1509400372003,2.3499090671539307,9.364919662475586,0.18076223134994507
1509400372035,2.3020248413085938,9.077615737915039,0.6021417379379272
1509400372075,2.4600422382354736,,
1509400372076,,9.336189270019531,0.7649474143981934
1509400372130,2.4648306369781494,,
1509400372131,,9.221267700195312,0.9852139949798584
1509400372158,2.5079262256622314,,
1509400372159,,9.475052833557129,0.6165069341659546
1509400372202,2.2445640563964844,,
1509400372203,,9.068038940429688,0.4058171808719635
1509400372252,2.4408886432647705,8.857349395751953,0.008379706181585789
1509400372278,2.340332269668579,9.1446533203125,0.02274491637945175
1509400372329,2.120065689086914,9.384073257446289,0.48243165016174316
1509400372378,2.718616008758545,9.3026704788208,0.43933600187301636
1509400372409,2.4839842319488525,9.048885345458984,0.7218518257141113
1509400372438,2.6228480339050293,8.71369743347168,0.7122750282287598
1509400372480,2.608482837677002,,
1509400372481,,9.206902503967285,0.5781996846199036
1509400372520,3.0107085704803467,,
1509400372521,,8.905233383178711,0.6931213736534119
1509400372562,3.2549171447753906,9.024943351745605,1.2054805755615234
1509400372620,3.580528736114502,9.690531730651855,1.3539210557937622
1509400372657,3.5039141178131104,9.877279281616211,0.9277531504631042
1509400372680,2.800018787384033,,1.0570400953292847
1509400372681,,10.26513957977295,
1509400372739,1.5454572439193726,12.132616996765137,0.7553706169128418
1509400372775,1.459265947341919,11.05522632598877,0.606930136680603
1509400372801,1.96683669090271,,
1509400372802,,9.676166534423828,0.707486629486084
1509400372852,2.005143880844116,,
1509400372853,,8.723274230957031,0.2621650993824005
1509400372882,2.0242974758148193,8.83819580078125,0.2717418968677521
1509400372931,1.4688427448272705,9.613917350769043,0.3531447649002075
1509400372963,1.7513585090637207,9.489418029785156,0.7553706169128418
1509400373021,2.1344308853149414,8.641871452331543,-0.1759738177061081
1509400373043,2.278082847595215,7.775169849395752,-0.20949265360832214
1509400373086,1.6077064275741577,7.574057102203369,0.3196259140968323
1509400373135,2.5558102130889893,,
1509400373136,,8.42160415649414,-0.25737667083740234
1509400373165,2.316390037536621,,
1509400373166,,8.493430137634277,0.4058171808719635
1509400373214,2.651578426361084,8.493430137634277,0.48722004890441895
1509400373267,2.7952303886413574,8.210914611816406,0.1999158412218094
1509400373290,2.8143839836120605,8.991424560546875,0.46327802538871765
1509400373331,2.9101521968841553,9.834183692932129,0.30047231912612915
1509400373368,3.4560301303863525,10.619482040405273,0.750582218170166
1509400373417,2.4791958332061768,10.959458351135254,1.3108254671096802
1509400373462,1.9189527034759521,11.443086624145508,-0.19033902883529663
1509400373504,1.9955670833587646,,-1.1001356840133667
1509400373505,,11.950657844543457,
1509400373526,1.2629413604736328,,
1509400373527,,9.369708061218262,-0.9900023937225342
1509400373581,1.1288660764694214,8.42160415649414,-0.008379706181585789
1509400373608,1.5885528326034546,,
1509400373609,,9.044096946716309,0.707486629486084
1509400373650,1.157596468925476,7.856573104858398,0.8990227580070496
1509400373702,1.4257471561431885,8.0145902633667,0.5015852451324463
1509400373728,1.3251906633377075,7.660248279571533,-0.1951274424791336
1509400373769,2.737769603729248,,
1509400373770,,7.1239471435546875,0.5446808934211731
1509400373819,2.230198860168457,7.574057102203369,1.4832079410552979
1509400373855,2.3977930545806885,,
1509400373856,,7.799111843109131,1.3778630495071411
1509400373893,3.489548921585083,8.890868186950684,1.4736311435699463
1509400373929,4.255693435668945,,1.2054805755615234
1509400373930,,9.666589736938477,
1509400373978,4.643554210662842,9.910798072814941,1.0618284940719604
1509400374014,3.02986216545105,10.322600364685059,2.072181463241577
1509400374063,0.7170634269714355,10.90678596496582,1.2964602708816528
1509400374090,1.646013617515564,,0.02274491637945175
1509400374091,,12.161347389221191,
1509400374130,1.890222191810608,,0.12330138683319092
1509400374131,,9.886856079101562,
1509400374171,2.412158250808716,6.922834396362305,-0.9469067454338074
1509400374211,2.0626046657562256,,-1.655590534210205
1509400374212,,9.546878814697266,
1509400374252,3.7672762870788574,9.613917350769043,-1.3443442583084106
1509400374292,0.25258827209472656,,
1509400374293,,3.997119665145874,-2.1104888916015625
1509400374332,0.4058171808719635,4.830301761627197,-3.580528736114502
1509400374372,-2.8431146144866943,6.080075263977051,-7.032967567443848
1509400374413,-1.0666168928146362,6.376956462860107,-6.889315605163574
1509400374453,-5.92205810546875,5.596446514129639,-8.80467700958252
1509400374493,-5.352237701416016,5.13197135925293,-10.36569595336914
1509400374533,-5.553350925445557,,
1509400374534,,1.4832079410552979,-11.275492668151855
1509400374574,-8.273163795471191,-1.578976035118103,-12.898761749267578
1509400374614,-7.157465934753418,-1.0666168928146362,-11.002553939819336
1509400374654,-7.9427642822265625,,
1509400374655,,-1.6316484212875366,-8.110358238220215
1509400374696,-6.922834396362305,-1.6077064275741577,-7.971494674682617
1509400374735,-5.826289653778076,-1.4640543460845947,-7.937975883483887
1509400374775,-5.38096809387207,-2.4887726306915283,-7.813477039337158
1509400374816,-3.997119665145874,,
1509400374817,,-4.107253074645996,-8.397662162780762
1509400374856,-3.202244758605957,-2.3738510608673096,-9.11113452911377
1509400374896,-4.1647138595581055,,
1509400374897,,0.08978256583213806,-9.858125686645508
1509400374936,-3.8151605129241943,,
1509400374937,,7.660248279571533,-8.163030624389648
1509400374977,-7.5213847160339355,-0.23822307586669922,-7.4782891273498535
1509400375017,-6.831854343414307,,
1509400375018,,-1.8183962106704712,-8.234856605529785
1509400375057,-9.048885345458984,,
1509400375058,,-4.341884613037109,-6.381744861602783
1509400375098,-10.188525199890137,-4.873397350311279,-7.047332763671875
1509400375138,-8.847772598266602,,-8.282740592956543
1509400375139,,-4.945223808288574,
1509400375178,-7.679401874542236,-4.255693435668945,-3.714603900909424
1509400375219,-6.937199592590332,-5.199008941650391,-6.683413982391357
1509400375259,-5.941211700439453,-1.8710685968399048,-5.1367597579956055
1509400375300,-4.131195068359375,-1.6172832250595093,-1.6412252187728882
1509400375340,-2.8574798107147217,-1.9955670833587646,-3.3315317630767822
1509400375381,-3.714603900909424,,
1509400375382,,-3.642777919769287,-3.3889925479888916
1509400375422,-3.6762967109680176,-3.8151605129241943,-5.8406548500061035
1509400375462,-6.913257598876953,-5.309142112731934,-9.446322441101074
1509400375502,-8.344989776611328,,-10.064026832580566
1509400375503,,-4.198232650756836,
1509400375543,-8.522160530090332,-3.0585925579071045,-8.550890922546387
1509400375583,-14.498088836669922,-0.37229835987091064,-7.665036678314209
1509400375623,-11.409567832946777,,-6.48708963394165
1509400375624,,-0.7745242714881897,
1509400375663,-9.159018516540527,,
1509400375664,,-1.9093759059906006,-7.401674747467041
1509400375704,-9.159018516540527,0.645237386226654,-2.383427858352661
1509400375746,-4.380191802978516,2.9915549755096436,-0.32441434264183044
1509400375784,-3.800795316696167,0.9421183466911316,-1.3012486696243286
1509400375824,-5.361814498901367,,
1509400375825,,0.7218518257141113,-5.16549015045166
1509400375865,0.2908954918384552,0.2669534981250763,-7.032967567443848
1509400375905,-0.2669534981250763,,
1509400375906,,4.499902248382568,-8.019378662109375
1509400375945,-5.519832134246826,,
1509400375946,,2.5318682193756104,-10.135852813720703
1509400375986,-9.005789756774902,2.211045265197754,-16.154876708984375
1509400376027,-11.481393814086914,-1.3634978532791138,-9.039308547973633
1509400376067,-11.57237434387207,-1.9045875072479248,-9.824606895446777
1509400376107,-7.502231121063232,,-4.95001220703125
1509400376108,,1.4544775485992432,
1509400376147,-3.269282341003418,,-6.48708963394165
1509400376148,,-2.9293057918548584,
1509400376187,-1.2054805755615234,,
1509400376188,,-0.5542576909065247,-6.142324447631836
1509400376228,-1.6699557304382324,0.2717418968677521,-4.638765811920166
1509400376268,-2.5558102130889893,,
1509400376269,,-1.2485761642456055,-4.41849946975708
1509400376308,-2.2637176513671875,,
1509400376309,,-0.6643909811973572,-4.059369087219238
1509400376349,-5.591658115386963,0.30526071786880493,-5.7544636726379395
1509400376389,-10.753557205200195,-2.9532477855682373,-9.226056098937988
1509400376429,-5.941211700439453,,
1509400376430,,3.1735143661499023,-11.347318649291992
1509400376470,-6.932411193847656,2.3786394596099854,-12.247538566589355
1509400376510,-7.411251544952393,,-10.552444458007812
1509400376511,,1.3060370683670044,
1509400376550,-6.080075263977051,2.211045265197754,-10.863690376281738
1509400376590,-5.682637691497803,1.4832079410552979,-10.638635635375977
1509400376629,-12.036849021911621,,-7.01860237121582
1509400376630,,1.4496891498565674,
1509400376670,-11.897985458374023,3.532644510269165,-5.57250452041626
1509400376711,-8.100781440734863,3.2357635498046875,-3.5230677127838135
1509400376751,-4.681861400604248,1.1815385818481445,-0.2190694510936737
1509400376792,-3.250128746032715,1.5502456426620483,-2.3020248413085938
1509400376832,-4.346673011779785,1.7417817115783691,-4.926070213317871
1509400376872,-5.07451057434082,1.4832079410552979,-2.1583728790283203
