;;;;;;;;;
Anexo 1. Desempeño fiscal de los municipios 2013, ;;;;;;;;;
ordenados de mayor a menor calificación;;;;;;;;;
;;;;;;;;;
Codigo Dane Mpio;Departamento;Municipio;Autofinanciamiento gastos de funcionamiento 1/;Respaldo del servicio de la deuda 2/;Dependencia transferencias y regalías 3/;Generación de recursos propios 4/;Magnitud de la inversión 5/;Capacidad de ahorro 6/;Indicador de desempeño Fiscal 7/
 68368 ; Santander ; Jesús María ;54,33;1,62;78,77;58,81;86,31;63,68;72,55
 08433 ; Atlántico ; Malambo ;58,94;0,00;89,28;83,60;92,61;39,14;72,47
 15516 ; Boyacá ; Paipa ;40,17;7,72;63,16;51,00;87,24;61,62;72,46
 63594 ; Quindio ; Quimbaya ;62,11;6,75;68,66;74,71;83,62;44,94;72,44
 63272 ; Quindio ; Filandia ;53,95;0,00;72,10;63,20;85,15;50,93;72,43
 76377 ; Valle Del Cauca ; La Cumbre ;62,01;0,00;72,35;70,76;83,64;44,78;72,42
 44035 ; La Guajira ; Albania ;66,77;4,12;82,15;90,09;88,88;33,58;72,41
 86320 ; Putumayo ; Orito ;53,20;6,69;77,82;80,22;90,99;40,10;72,38
 27135 ; Chocó ; El Cantón del San Pablo ;52,55;0,00;73,21;59,26;90,20;50,12;72,33
 15690 ; Boyacá ; Santa María ;38,05;9,06;65,14;54,72;85,75;61,83;72,29
 23570 ; Córdoba ; Pueblo Nuevo ;72,38;10,73;82,32;81,26;91,24;47,26;72,26
 23815 ; Córdoba ; Tuchín ;78,96;0,00;93,50;64,13;95,73;59,11;72,25
 20238 ; Cesar ; El Copey ;56,63;12,92;69,71;73,81;90,72;44,25;72,08
 19548 ; Cauca ; Piendamó ;52,31;0,00;77,05;59,62;92,39;49,57;72,06
 05591 ; Antioquia ; Puerto Triunfo ;54,15;15,83;62,56;73,96;81,14;50,40;72,06
 17495 ; Caldas ; Norcasia ;42,90;1,78;75,64;63,69;85,72;52,99;72,04
 25743 ; Cundinamarca ; Silvania ;60,78;4,49;64,96;69,22;85,49;39,67;72,02
 68572 ; Santander ; Puente Nacional ;57,25;1,94;69,91;64,05;86,56;45,01;71,87
 25815 ; Cundinamarca ; Tocaima ;50,13;6,37;58,02;68,17;79,30;41,12;71,79
 05147 ; Antioquia ; Carepa ;56,90;13,20;63,72;80,88;82,87;37,54;71,77
 70823 ; Sucre ; Tolú Viejo ;65,88;2,87;71,54;71,36;89,63;36,03;71,76
 25312 ; Cundinamarca ; Granada ;52,51;0,00;65,29;52,47;80,07;56,04;71,70
 70400 ; Sucre ; La Unión ;74,12;2,84;73,13;61,15;92,56;44,73;71,69
 41298 ; Huila ; Garzón ;62,31;5,44;74,36;72,07;88,85;41,54;71,69
 05002 ; Antioquia ; Abejorral ;58,77;3,96;68,10;60,56;88,69;45,59;71,67
 25530 ; Cundinamarca ; Paratebueno ;61,20;3,69;61,20;65,65;83,16;38,90;71,67
 15638 ; Boyacá ; Sáchica ;35,29;1,32;72,55;50,94;82,80;62,87;71,58
 08558 ; Atlántico ; Polonuevo ;69,68;0,00;72,70;52,33;88,53;53,14;71,47
 17524 ; Caldas ; Palestina ;59,54;0,00;68,06;68,32;82,84;37,71;71,45
 15322 ; Boyacá ; Guateque ;52,72;1,61;57,35;45,80;82,97;52,22;71,45
 66682 ; Risaralda ; Santa Rosa de Cabal ;69,32;1,42;65,77;80,05;79,82;27,94;71,45
 54518 ; Norte De Santander ; Pamplona ;71,51;9,64;69,14;72,20;87,14;41,26;71,44
 23686 ; Córdoba ; San Pelayo ;60,82;4,01;81,65;71,05;91,34;43,84;71,41
 99001 ; Vichada ; Puerto Carreño ;59,27;0,00;79,85;62,41;89,36;48,04;71,33
 41615 ; Huila ; Rivera ;50,50;7,15;69,04;67,44;84,24;45,69;71,33
 15362 ; Boyacá ; Iza ;71,29;6,20;61,42;63,49;76,57;49,24;71,33
 19142 ; Cauca ; Caloto ;67,94;2,80;65,94;86,08;73,93;28,88;71,32
 25839 ; Cundinamarca ; Ubalá ;47,69;0,00;73,31;53,63;89,51;50,32;71,31
 25224 ; Cundinamarca ; Cucunubá ;60,05;2,08;64,36;59,24;82,18;45,56;71,29
 15693 ; Boyacá ; Santa Rosa de Viterbo ;61,33;0,00;68,29;37,48;86,36;65,40;71,28
 25781 ; Cundinamarca ; Sutatausa ;33,39;0,00;56,22;39,10;85,39;52,38;71,26
 73563 ; Tolima ; Prado ;57,11;5,85;59,21;55,41;89,78;40,17;71,22
 05887 ; Antioquia ; Yarumal ;55,22;11,09;65,85;67,46;84,08;46,45;71,21
 25486 ; Cundinamarca ; Nemocón ;54,15;0,00;48,37;46,73;78,56;43,43;71,21
 23672 ; Córdoba ; San Antero ;60,26;11,81;83,34;86,24;91,64;36,96;71,18
 25745 ; Cundinamarca ; Simijaca ;66,07;0,00;62,04;61,35;79,27;40,99;71,18
 54874 ; Norte De Santander ; Villa del Rosario ;36,50;11,60;80,45;76,64;89,59;45,98;71,17
 85125 ; Casanare ; Hato Corozal ;55,56;2,63;64,71;47,09;85,33;55,12;71,17
 19573 ; Cauca ; Puerto Tejada ;53,55;9,15;60,96;79,07;73,91;37,64;71,16
 05585 ; Antioquia ; Puerto Nare ;63,01;5,52;70,96;72,63;85,23;37,85;71,12
 63690 ; Quindio ; Salento ;46,32;9,31;63,25;69,71;76,28;47,09;71,11
 05040 ; Antioquia ; Anorí ;43,39;1,09;69,34;48,73;88,34;52,61;71,10
 41396 ; Huila ; La Plata ;57,67;5,11;83,03;69,74;92,62;44,30;71,06
 23682 ; Córdoba ; San José de Ure ;22,49;0,27;82,77;26,33;96,35;79,81;71,05
 23855 ; Córdoba ; Valencia ;68,56;0,00;88,86;62,32;93,70;50,26;70,97
 76036 ; Valle Del Cauca ; Andalucía ;51,10;0,00;69,64;68,46;76,74;42,50;70,95
 70742 ; Sucre ; San Luis de Sincé ;66,46;1,54;79,88;59,64;94,30;45,01;70,95
 25297 ; Cundinamarca ; Gachetá ;63,60;0,00;58,06;49,70;86,35;40,06;70,94
 70215 ; Sucre ; Corozal ;80,06;0,00;86,82;75,75;91,91;36,13;70,94
 15204 ; Boyacá ; Cómbita ;35,12;1,73;76,25;49,88;90,27;56,00;70,93
 54239 ; Norte De Santander ; Durania ;56,52;8,08;81,71;55,88;92,44;60,19;70,91
 18094 ; Caquetá ; Belén de Los Andaquies ;56,83;0,00;72,80;49,98;90,67;49,74;70,89
 73408 ; Tolima ; Lérida ;76,29;0,00;75,20;77,18;80,62;34,20;70,86
 05031 ; Antioquia ; Amalfi ;65,48;10,35;53,82;54,92;85,01;42,92;70,80
 20178 ; Cesar ; Chiriguaná ;67,49;0,00;92,81;62,06;96,48;50,21;70,76
 25019 ; Cundinamarca ; Albán ;51,23;0,00;66,14;53,50;81,52;48,06;70,73
 05034 ; Antioquia ; Andes ;59,65;10,61;65,28;69,59;84,73;39,08;70,70
 81300 ; Arauca ; Fortul ;51,81;0,00;81,74;51,52;91,08;55,18;70,66
 23678 ; Córdoba ; San Carlos ;71,53;0,00;92,09;57,64;96,58;53,33;70,66
 15299 ; Boyacá ; Garagoa ;46,39;0,00;68,17;49,05;86,63;48,78;70,65
 15051 ; Boyacá ; Arcabuco ;43,72;5,76;64,47;50,90;88,55;47,70;70,64
 25662 ; Cundinamarca ; San Juan de Río Seco ;57,85;0,00;63,58;44,07;90,15;45,19;70,59
 76306 ; Valle Del Cauca ; Ginebra ;66,06;0,00;75,63;73,74;82,71;34,03;70,55
 19809 ; Cauca ; Timbiquí ;67,89;0,00;75,12;57,02;89,03;44,10;70,53
 73870 ; Tolima ; Villahermosa ;74,04;7,87;36,25;42,23;94,02;24,09;70,52
 99524 ; Vichada ; La Primavera ;48,88;0,00;90,36;53,86;91,41;60,24;70,52
 70429 ; Sucre ; Majagual ;61,94;0,00;84,32;53,67;96,65;48,56;70,50
 20770 ; Cesar ; San Martín ;37,29;12,55;77,35;72,29;90,47;43,27;70,50
 18001 ; Caquetá ; Florencia ;65,97;9,54;78,60;90,51;85,95;26,77;70,50
 20621 ; Cesar ; La Paz ;79,35;1,46;83,62;63,86;90,72;45,05;70,47
 52696 ; Nariño ; Santa Bárbara ;16,85;0,00;91,27;35,41;95,96;75,17;70,45
 05674 ; Antioquia ; San Vicente ;30,25;6,52;63,10;31,66;87,17;67,50;70,42
 05789 ; Antioquia ; Támesis ;33,43;0,00;73,71;35,86;88,51;64,26;70,35
 63190 ; Quindio ; Circasia ;73,52;2,55;69,13;71,74;84,06;29,66;70,33
 25123 ; Cundinamarca ; Cachipay ;48,95;6,23;60,70;58,57;89,63;33,25;70,33
 25001 ; Cundinamarca ; Agua de Dios ;57,39;5,62;61,28;60,43;88,56;32,21;70,31
 76364 ; Valle Del Cauca ; Jamundí ;71,54;7,00;68,52;92,94;77,76;24,33;70,31
 70670 ; Sucre ; Sampués ;72,42;7,36;83,67;68,79;94,06;41,59;70,21
 13688 ; Bolívar ; Santa Rosa del Sur ;61,49;1,97;85,27;64,79;91,85;43,39;70,20
 76869 ; Valle Del Cauca ; Vijes ;54,52;1,93;71,88;63,19;88,23;35,08;70,15
 25372 ; Cundinamarca ; Junín ;51,91;0,00;62,36;40,19;90,04;45,35;70,15
 25797 ; Cundinamarca ; Tena ;37,94;6,89;69,05;51,20;83,96;55,06;70,14
 70235 ; Sucre ; Galeras ;69,98;0,73;73,77;49,73;95,17;42,03;70,12
 27361 ; Chocó ; Istmina ;65,75;3,40;88,75;78,65;90,86;34,21;70,06
 54003 ; Norte De Santander ; Abrego ;63,99;4,28;82,20;64,40;93,39;40,62;70,02
 54673 ; Norte De Santander ; San Cayetano ;51,36;6,48;65,65;52,68;82,29;50,00;69,92
 52001 ; Nariño ; Pasto ;40,61;3,36;66,43;46,24;84,20;51,82;69,92
 88564 ; Archipiélago De San Andrés ; Providencia ;27,44;0,00;18,64;5,71;71,41;55,72;69,91
 23090 ; Córdoba ; Canalete ;56,04;0,00;89,01;52,79;93,50;53,72;69,89
 15763 ; Boyacá ; Sotaquirá ;43,36;0,00;73,03;48,07;87,15;49,26;69,88
 68500 ; Santander ; Oiba ;45,49;0,80;75,34;49,41;88,48;49,60;69,87
 25649 ; Cundinamarca ; San Bernardo ;57,32;3,39;55,54;42,44;90,73;37,42;69,86
 05400 ; Antioquia ; La Unión ;55,83;8,62;72,21;63,61;82,28;47,03;69,82
 50577 ; Meta ; Puerto Lleras ;63,64;0,00;83,34;63,34;90,56;39,60;69,82
 18753 ; Caquetá ; San Vicente del Caguán ;67,00;0,00;88,71;76,11;90,36;31,76;69,80
 08685 ; Atlántico ; Santo Tomás ;73,90;0,00;71,07;65,29;88,97;26,65;69,79
 68327 ; Santander ; Güepsa ;35,69;2,42;76,74;45,73;86,66;58,16;69,78
 44874 ; La Guajira ; Villanueva ;74,14;3,14;75,50;58,57;93,92;36,05;69,71
 05282 ; Antioquia ; Fredonia ;68,53;9,10;46,05;61,40;75,74;29,68;69,69
 17486 ; Caldas ; Neira ;53,68;0,00;80,34;60,83;87,25;41,82;69,67
 70708 ; Sucre ; San Marcos ;80,48;1,44;89,77;73,01;94,16;35,40;69,66
 17042 ; Caldas ; Anserma ;69,56;0,00;73,74;71,52;84,06;27,23;69,65
 15162 ; Boyacá ; Cerinza ;57,06;4,17;57,99;36,29;89,39;47,22;69,62
 15272 ; Boyacá ; Firavitoba ;44,22;0,00;70,85;37,85;90,10;52,91;69,62
 05604 ; Antioquia ; Remedios ;71,37;6,51;66,30;53,17;80,75;49,78;69,60
 73483 ; Tolima ; Natagaima ;75,07;2,98;79,73;60,99;88,49;42,64;69,59
 41770 ; Huila ; Suaza ;45,75;4,65;88,32;41,59;95,37;66,14;69,57
 05667 ; Antioquia ; San Rafael ;52,90;11,92;49,25;49,53;86,29;36,54;69,57
 44650 ; La Guajira ; San Juan del Cesar ;64,02;0,00;88,99;65,58;92,66;38,91;69,54
 15814 ; Boyacá ; Toca ;28,22;0,00;84,16;34,25;94,64;64,67;69,52
 76318 ; Valle Del Cauca ; Guacarí ;53,97;4,06;63,06;69,31;69,48;38,09;69,49
 97001 ; Vaupés ; Mitú ;61,78;6,63;84,62;68,44;93,50;37,83;69,46
 15104 ; Boyacá ; Boyacá ;35,47;2,19;74,48;46,48;86,80;52,54;69,44
 68229 ; Santander ; Curití ;38,64;3,29;76,92;46,35;84,82;58,31;69,41
 23675 ; Córdoba ; San Bernardo del Viento ;76,15;0,00;92,01;62,27;94,75;42,27;69,39
 25592 ; Cundinamarca ; Quebradanegra ;69,65;0,00;63,39;17,72;86,48;68,86;69,38
 76497 ; Valle Del Cauca ; Obando ;51,16;1,24;77,77;66,08;83,47;37,12;69,34
 08606 ; Atlántico ; Repelón ;71,38;0,00;82,76;55,47;95,72;38,68;69,34
 08634 ; Atlántico ; Sabanagrande ;61,42;4,51;72,73;35,27;87,79;63,47;69,34
 20383 ; Cesar ; La Gloria ;57,09;4,15;75,13;62,55;89,04;35,50;69,33
 15425 ; Boyacá ; Macanal ;43,75;0,00;48,84;41,96;88,63;25,87;69,30
 15476 ; Boyacá ; Motavita ;30,63;4,03;79,34;45,85;89,12;56,73;69,28
 76622 ; Valle Del Cauca ; Roldanillo ;70,77;0,82;74,52;73,42;84,64;23,81;69,25
 76670 ; Valle Del Cauca ; San Pedro ;66,14;0,00;71,83;76,26;73,95;28,38;69,21
 68051 ; Santander ; Aratoca ;31,90;1,98;74,84;38,17;87,92;58,54;69,19
 66383 ; Risaralda ; La Celia ;60,28;3,85;56,92;45,53;91,48;30,95;69,17
 73055 ; Tolima ; Armero ;73,74;1,39;73,37;69,07;78,34;34,04;69,16
 05649 ; Antioquia ; San Carlos ;52,62;4,97;73,48;57,58;86,91;41,17;69,16
 73283 ; Tolima ; Fresno ;75,53;1,99;82,97;68,39;89,67;32,98;69,16
 20550 ; Cesar ; Pelaya ;69,17;0,00;88,18;59,38;91,40;43,50;69,15
 73547 ; Tolima ; Piedras ;65,20;0,00;80,10;57,92;83,46;45,30;69,14
 52786 ; Nariño ; Taminango ;44,94;1,99;85,52;46,39;93,10;54,77;69,13
 25524 ; Cundinamarca ; Pandi ;58,54;3,71;62,35;50,09;84,65;38,22;69,08
 25779 ; Cundinamarca ; Susa ;62,53;2,22;61,64;48,37;85,39;36,75;69,08
 73168 ; Tolima ; Chaparral ;63,89;4,77;86,47;73,85;90,12;32,71;69,02
 76400 ; Valle Del Cauca ; La Unión ;58,55;6,85;80,06;79,45;83,29;29,83;68,98
 05819 ; Antioquia ; Toledo ;73,22;3,17;54,39;70,65;64,42;28,95;68,96
 41026 ; Huila ; Altamira ;39,08;0,00;74,65;51,15;85,35;43,69;68,96
 20060 ; Cesar ; Bosconia ;54,08;10,77;81,11;70,34;89,12;38,47;68,93
 15686 ; Boyacá ; Santana ;57,72;0,39;73,24;42,64;85,56;51,22;68,93
 18410 ; Caquetá ; La Montañita ;47,18;2,18;85,41;53,26;90,60;48,96;68,91
 25535 ; Cundinamarca ; Pasca ;56,17;0,00;63,77;49,05;86,05;33,64;68,88
 08372 ; Atlántico ; Juan de Acosta ;68,29;1,44;63,33;46,34;89,20;34,22;68,86
 20443 ; Cesar ; Manaure ;71,92;0,00;62,53;35,00;93,47;38,79;68,83
 54820 ; Norte De Santander ; Toledo ;37,49;3,87;85,74;50,04;91,98;52,53;68,81
 05250 ; Antioquia ; El Bagre ;39,19;3,32;77,30;37,75;86,12;62,32;68,78
 19418 ; Cauca ; López ;61,33;0,00;78,12;46,39;92,87;42,94;68,78
 85400 ; Casanare ; Támara ;66,73;2,79;67,28;16,52;89,05;70,59;68,76
 15761 ; Boyacá ; Somondoco ;58,08;2,04;56,66;15,26;84,61;64,93;68,74
 47551 ; Magdalena ; Pivijay ;59,72;6,37;80,26;68,04;93,47;28,97;68,74
 73411 ; Tolima ; Líbano ;69,61;10,93;77,18;69,50;87,56;35,95;68,73
 73585 ; Tolima ; Purificación ;68,49;3,23;86,05;73,99;91,77;26,62;68,72
 05679 ; Antioquia ; Santa Bárbara ;57,46;10,27;67,19;61,38;84,68;36,56;68,71
 17867 ; Caldas ; Victoria ;56,85;0,36;81,80;63,13;82,20;40,31;68,67
 52573 ; Nariño ; Puerres ;48,35;6,03;79,39;45,75;92,46;51,64;68,66
 05861 ; Antioquia ; Venecia ;73,15;4,80;70,29;71,67;77,93;29,40;68,65
 13052 ; Bolívar ; Arjona ;56,80;3,51;89,84;64,34;91,46;40,65;68,63
 52227 ; Nariño ; Cumbal ;43,64;3,72;92,20;48,56;96,25;54,65;68,62
 41013 ; Huila ; Agrado ;53,05;1,36;64,33;43,06;90,06;36,00;68,61
 17653 ; Caldas ; Salamina ;51,34;4,20;79,63;60,15;88,66;38,38;68,61
 47555 ; Magdalena ; Plato ;39,52;2,96;92,05;65,16;93,56;38,89;68,59
 17877 ; Caldas ; Viterbo ;66,59;7,59;57,50;52,40;85,58;31,04;68,55
 76111 ; Valle Del Cauca ; Guadalajara de Buga ;66,26;8,83;63,66;82,43;72,37;21,39;68,55
 15757 ; Boyacá ; Socha ;31,26;0,00;66,57;42,03;88,54;38,79;68,51
 15804 ; Boyacá ; Tibaná ;42,87;3,59;79,45;41,53;91,91;52,68;68,47
 41359 ; Huila ; Isnos ;43,45;0,00;86,58;46,99;93,84;47,86;68,47
 73030 ; Tolima ; Ambalema ;72,58;0,00;62,99;60,21;80,23;24,65;68,45
 66594 ; Risaralda ; Quinchía ;65,42;3,14;83,63;53,28;93,05;42,26;68,38
 18610 ; Caquetá ; San José del Fragua ;38,76;7,17;85,54;49,22;92,00;54,22;68,37
 23580 ; Córdoba ; Puerto Libertador ;70,27;0,00;93,30;67,69;94,00;31,71;68,30
 18592 ; Caquetá ; Puerto Rico ;74,30;0,00;86,94;68,60;90,04;28,54;68,29
 52678 ; Nariño ; Samaniego ;55,79;0,00;83,40;43,44;94,33;46,69;68,29
 05321 ; Antioquia ; Guatapé ;58,70;54,20;30,25;70,81;83,23;39,34;68,27
 25368 ; Cundinamarca ; Jerusalén ;64,44;0,91;51,89;31,39;90,41;32,51;68,25
 05761 ; Antioquia ; Sopetrán ;73,26;6,36;61,13;60,41;79,72;29,23;68,25
 41132 ; Huila ; Campoalegre ;63,44;17,27;73,21;62,53;86,89;44,28;68,25
 08832 ; Atlántico ; Tubará ;58,38;0,00;76,69;64,77;80,23;32,33;68,23
 73124 ; Tolima ; Cajamarca ;55,70;0,00;75,00;47,37;84,71;44,01;68,23
 50590 ; Meta ; Puerto Rico ;51,90;0,00;85,63;42,65;90,76;53,14;68,21
 47745 ; Magdalena ; Sitionuevo ;38,22;0,00;90,36;43,04;93,30;54,73;68,20
 76275 ; Valle Del Cauca ; Florida ;58,99;4,91;78,05;79,93;81,22;22,12;68,18
 76606 ; Valle Del Cauca ; Restrepo ;56,57;0,27;79,14;69,93;83,83;25,27;68,14
 15135 ; Boyacá ; Campohermoso ;47,26;1,87;70,86;26,70;90,75;56,47;68,11
 13244 ; Bolívar ; El Carmen de Bolívar ;42,98;0,00;85,01;52,56;95,47;36,39;68,11
 17541 ; Caldas ; Pensilvania ;59,68;0,23;82,54;60,42;90,64;31,09;68,11
 25718 ; Cundinamarca ; Sasaima ;65,12;2,50;66,02;54,74;79,47;34,24;67,99
 15835 ; Boyacá ; Turmequé ;53,01;0,00;72,47;39,38;89,39;43,26;67,99
 15187 ; Boyacá ; Chivatá ;39,29;0,00;69,53;25,43;88,01;56,34;67,98
 76147 ; Valle Del Cauca ; Cartago ;63,93;12,28;77,89;85,37;82,13;22,51;67,96
 66572 ; Risaralda ; Pueblo Rico ;51,78;0,00;80,96;48,60;90,32;40,90;67,94
 95001 ; Guaviare ; San José del Guaviare ;63,65;4,04;89,00;64,48;90,83;36,56;67,94
 66088 ; Risaralda ; Belén de Umbría ;65,30;6,71;74,68;65,06;87,77;27,86;67,94
 20175 ; Cesar ; Chimichagua ;68,31;2,54;89,43;53,89;94,50;41,90;67,86
 54245 ; Norte De Santander ; El Carmen ;53,90;2,23;87,16;37,35;92,30;58,52;67,80
 66045 ; Risaralda ; Apía ;58,07;0,88;77,91;50,37;89,49;36,91;67,79
 25279 ; Cundinamarca ; Fomeque ;55,09;3,24;54,25;36,97;84,29;35,31;67,78
 73043 ; Tolima ; Anzoátegui ;47,94;0,00;76,49;9,77;89,05;77,15;67,74
 17088 ; Caldas ; Belalcázar ;62,78;0,00;76,72;53,20;85,15;35,80;67,70
 44098 ; La Guajira ; Distracción ;39,38;0,00;83,45;37,11;92,70;51,34;67,70
 15667 ; Boyacá ; San Luis de Gaceno ;47,70;1,33;71,75;38,06;84,69;48,62;67,69
 76736 ; Valle Del Cauca ; Sevilla ;69,81;1,62;82,80;69,95;86,59;24,45;67,66
 68770 ; Santander ; Suaita ;35,93;10,01;71,59;48,24;86,10;46,19;67,65
 70124 ; Sucre ; Caimito ;56,42;2,71;77,88;34,69;95,87;47,73;67,65
 25491 ; Cundinamarca ; Nocaima ;62,25;1,75;66,66;41,56;86,17;38,31;67,63
 05368 ; Antioquia ; Jericó ;57,28;6,09;70,99;60,12;76,89;37,94;67,58
 15215 ; Boyacá ; Corrales ;70,71;0,00;78,65;39,25;81,26;55,46;67,53
 15664 ; Boyacá ; San José de Pare ;43,23;0,25;75,37;35,59;88,50;48,32;67,50
 05361 ; Antioquia ; Ituango ;54,46;15,05;80,79;59,99;86,91;47,05;67,48
 25845 ; Cundinamarca ; Une ;59,43;7,61;59,72;38,54;86,60;39,76;67,46
 19821 ; Cauca ; Toribio ;55,11;0,00;90,30;50,17;93,51;42,11;67,45
 25281 ; Cundinamarca ; Fosca ;53,72;0,00;72,01;33,02;90,42;44,83;67,43
 15480 ; Boyacá ; Muzo ;56,43;2,30;65,67;34,56;88,42;41,42;67,40
 76041 ; Valle Del Cauca ; Ansermanuevo ;66,90;2,23;72,51;63,04;84,04;22,97;67,38
 17662 ; Caldas ; Samaná ;59,01;0,34;89,02;50,11;93,07;41,30;67,38
 47980 ; Magdalena ; Zona Bananera ;58,89;7,16;91,44;71,57;91,84;30,33;67,34
 05856 ; Antioquia ; Valparaíso ;75,98;5,14;68,66;67,72;74,85;27,17;67,34
 25596 ; Cundinamarca ; Quipile ;60,79;2,79;73,95;28,47;87,29;57,50;67,33
 13894 ; Bolívar ; Zambrano ;47,87;1,04;93,89;51,34;90,49;48,08;67,31
 52788 ; Nariño ; Tangua ;51,53;1,39;64,11;27,59;92,05;40,96;67,21
 76403 ; Valle Del Cauca ; La Victoria ;70,48;0,00;77,22;68,23;80,13;22,69;67,20
 17513 ; Caldas ; Pácora ;59,16;0,00;77,82;49,59;87,57;34,84;67,19
 91540 ; Amazonas ; Puerto Nariño ;51,22;0,00;83,39;36,58;89,48;51,69;67,14
 05390 ; Antioquia ; La Pintada ;65,05;12,05;59,58;68,67;70,36;28,48;67,12
 41807 ; Huila ; Timaná ;51,17;5,27;85,72;54,39;91,80;38,88;67,11
 76616 ; Valle Del Cauca ; Riofrío ;66,19;5,27;77,02;69,83;82,93;23,39;67,10
 18247 ; Caquetá ; El Doncello ;53,96;8,99;83,12;57,61;88,15;40,74;67,04
 68872 ; Santander ; Villanueva ;31,52;7,59;77,99;38,50;87,77;54,31;67,04
 15047 ; Boyacá ; Aquitania ;46,92;7,60;74,94;42,84;90,54;43,68;67,03
 68179 ; Santander ; Chipatá ;44,62;0,00;78,93;34,69;89,43;48,57;67,03
 41006 ; Huila ; Acevedo ;50,05;4,02;88,36;52,08;94,20;39,38;67,02
 18150 ; Caquetá ; Cartagena del Chairá ;63,97;0,00;94,18;60,72;90,09;35,87;67,01
 41319 ; Huila ; Guadalupe ;27,38;8,68;85,66;39,89;93,15;55,93;67,01
 15764 ; Boyacá ; Soracá ;36,63;6,94;74,63;34,69;90,27;51,09;66,98
 41668 ; Huila ; San Agustín ;57,77;6,22;83,80;54,80;92,80;35,67;66,97
 19513 ; Cauca ; Padilla ;49,91;8,13;77,79;56,77;83,04;40,12;66,95
 76845 ; Valle Del Cauca ; Ulloa ;58,28;0,00;68,40;52,57;86,08;22,07;66,93
 70110 ; Sucre ; Buenavista ;81,51;1,19;62,08;39,96;92,46;31,59;66,90
 13188 ; Bolívar ; Cicuco ;48,49;0,00;74,88;31,18;93,08;43,27;66,88
 25873 ; Cundinamarca ; Villapinzón ;62,59;6,78;68,60;53,29;81,25;34,16;66,85
 44847 ; La Guajira ; Uribia ;83,33;12,03;93,43;72,73;96,28;47,18;66,85
 99624 ; Vichada ; Santa Rosalía ;74,44;0,00;69,06;41,36;82,00;38,36;66,84
 94001 ; Guainía ; Inírida ;62,74;0,00;88,30;54,07;89,79;36,02;66,83
 76126 ; Valle Del Cauca ; Calima ;68,59;6,60;71,91;68,87;77,42;24,87;66,82
 05313 ; Antioquia ; Granada ;74,63;1,77;61,31;47,64;86,43;21,07;66,82
 20032 ; Cesar ; Astrea ;63,44;0,00;82,76;37,50;93,20;44,01;66,81
 05315 ; Antioquia ; Guadalupe ;69,99;3,04;65,08;47,27;83,44;29,81;66,79
 68101 ; Santander ; Bolívar ;58,76;2,35;86,67;43,90;88,57;48,84;66,79
 05101 ; Antioquia ; Ciudad Bolívar ;59,10;10,95;72,99;62,79;82,68;31,57;66,79
 25040 ; Cundinamarca ; Anolaima ;63,90;8,67;59,71;48,23;84,54;28,72;66,78
 15380 ; Boyacá ; La Capilla ;34,55;0,83;70,41;32,87;86,14;44,63;66,76
 20517 ; Cesar ; Pailitas ;64,55;5,36;81,31;53,10;92,91;32,43;66,76
 52110 ; Nariño ; Buesaco ;63,16;0,00;84,13;38,76;94,75;41,92;66,73
 25328 ; Cundinamarca ; Guayabal de Siquima ;50,37;0,00;75,25;39,48;83,81;43,90;66,73
 19807 ; Cauca ; Timbío ;56,55;3,63;87,41;49,89;92,56;40,13;66,73
 05467 ; Antioquia ; Montebello ;64,86;3,07;81,12;60,07;85,85;29,56;66,71
 17442 ; Caldas ; Marmato ;57,84;1,83;83,97;26,89;90,58;60,67;66,71
 05190 ; Antioquia ; Cisneros ;73,88;6,23;76,29;61,22;81,15;32,13;66,70
 25793 ; Cundinamarca ; Tausa ;62,32;3,87;67,28;49,84;81,44;31,88;66,70
 25807 ; Cundinamarca ; Tibirita ;62,87;1,49;66,71;24,83;85,81;49,97;66,69
 25851 ; Cundinamarca ; Útica ;54,17;0,00;51,45;40,48;82,97;19,41;66,69
 25438 ; Cundinamarca ; Medina ;58,31;2,03;65,89;53,27;82,13;23,75;66,67
 17050 ; Caldas ; Aranzazu ;59,73;0,00;71,77;50,13;81,38;31,33;66,65
 08549 ; Atlántico ; Piojó ;59,34;0,00;72,27;32,88;91,58;38,96;66,65
 05670 ; Antioquia ; San Roque ;52,48;10,81;69,00;52,47;84,80;35,01;66,64
 25086 ; Cundinamarca ; Beltrán ;51,64;0,00;54,80;23,10;86,44;37,00;66,64
 52693 ; Nariño ; San Pablo ;52,85;3,03;72,30;36,59;93,84;36,14;66,64
 50400 ; Meta ; Lejanías ;64,98;6,28;79,72;53,55;88,78;34,93;66,61
 41518 ; Huila ; Paicol ;36,10;5,54;81,67;40,43;86,93;51,74;66,60
 23350 ; Córdoba ; La Apartada ;60,53;14,09;88,15;66,90;88,38;38,70;66,56
 05051 ; Antioquia ; Arboletes ;67,97;4,87;89,61;65,66;90,95;27,88;66,55
 17013 ; Caldas ; Aguadas ;60,84;4,17;83,60;52,35;89,11;36,83;66,54
 54250 ; Norte De Santander ; El Tarra ;62,75;0,39;85,56;16,78;90,70;69,98;66,54
 97666 ; Vaupés ; Taraira ;55,91;0,00;75,07;49,41;77,18;39,17;66,53
 15632 ; Boyacá ; Saboyá ;67,30;7,05;74,76;53,44;85,29;34,06;66,52
 05890 ; Antioquia ; Yolombó ;64,64;7,43;72,16;50,49;88,87;31,10;66,51
