;;;;;;;;;
Anexo 1. Desempeño fiscal de los municipios 2013, ;;;;;;;;;
ordenados de mayor a menor calificación;;;;;;;;;
;;;;;;;;;
Codigo Dane Mpio;Departamento;Municipio;Autofinanciamiento gastos de funcionamiento 1/;Respaldo del servicio de la deuda 2/;Dependencia transferencias y regalías 3/;Generación de recursos propios 4/;Magnitud de la inversión 5/;Capacidad de ahorro 6/;Indicador de desempeño Fiscal 7/
 15759 ; Boyacá ; Sogamoso ;34,20;3,16;60,88;92,80;87,21;59,32;80,13
 47001 ; Magdalena ; Santa Marta ;30,30;0,00;71,01;82,21;91,11;72,54;80,09
 25386 ; Cundinamarca ; La Mesa ;32,65;8,28;40,05;83,77;81,34;59,22;80,01
 25594 ; Cundinamarca ; Quetame ;25,15;0,00;54,48;71,71;87,45;69,88;79,95
 25335 ; Cundinamarca ; Guayabetal ;24,41;1,15;54,10;74,50;86,47;67,95;79,79
 68276 ; Santander ; Floridablanca ;36,40;7,73;52,37;91,09;83,38;59,46;79,74
 05893 ; Antioquia ; Yondó ;38,93;0,69;67,55;86,50;90,50;62,92;79,61
 25769 ; Cundinamarca ; Subachoque ;46,42;0,00;36,57;80,18;80,12;48,36;79,58
 73449 ; Tolima ; Melgar ;43,07;0,82;46,96;84,14;79,97;55,69;79,56
 13001 ; Bolívar ; Cartagena ;32,08;7,15;58,27;89,51;84,08;64,27;79,52
 25322 ; Cundinamarca ; Guasca ;30,79;4,26;45,03;80,60;79,07;61,30;79,38
 20710 ; Cesar ; San Alberto ;38,39;1,43;65,46;81,55;88,44;67,50;79,36
 25178 ; Cundinamarca ; Chipaque ;33,72;5,53;48,49;67,02;91,11;67,39;79,35
 05129 ; Antioquia ; Caldas ;48,45;8,56;33,74;89,42;83,10;41,09;79,34
 68190 ; Santander ; Cimitarra ;34,84;9,46;59,70;80,35;90,07;70,25;79,31
 54405 ; Norte De Santander ; Los Patios ;34,92;10,61;55,75;90,20;84,98;62,24;79,23
 20001 ; Cesar ; Valledupar ;37,88;3,85;69,11;89,29;91,96;61,29;79,23
 17001 ; Caldas ; Manizales ;36,12;6,20;55,67;87,39;85,24;59,55;79,22
 68271 ; Santander ; Florián ;36,15;2,62;58,29;64,52;88,85;77,87;79,18
 15238 ; Boyacá ; Duitama ;39,89;4,05;60,12;90,05;86,47;57,11;79,17
 15455 ; Boyacá ; Miraflores ;66,45;2,80;55,78;78,28;84,74;65,02;79,10
 19001 ; Cauca ; Popayán ;59,22;0,05;70,41;87,76;89,99;60,64;79,04
 08001 ; Atlántico ; Barranquilla ;38,12;9,21;48,95;77,98;85,16;64,73;78,99
 76834 ; Valle Del Cauca ; Tuluá ;37,24;2,20;69,19;94,66;88,35;55,26;78,85
 68307 ; Santander ; Girón ;31,37;6,44;58,36;81,41;86,36;64,43;78,72
 50573 ; Meta ; Puerto López ;51,82;9,39;56,02;92,03;85,19;55,37;78,68
 15514 ; Boyacá ; Páez ;41,87;4,05;56,32;68,35;87,13;71,82;78,62
 15001 ; Boyacá ; Tunja ;37,18;5,11;45,73;86,69;79,77;50,20;78,49
 20250 ; Cesar ; El Paso ;56,35;3,24;69,63;81,03;94,51;60,80;78,26
 41306 ; Huila ; Gigante ;21,58;1,84;74,96;81,29;89,83;69,05;78,22
 68406 ; Santander ; Lebríja ;45,66;3,84;61,92;79,79;87,70;61,91;78,20
 25754 ; Cundinamarca ; Soacha ;40,35;8,10;70,24;99,45;89,30;52,97;78,20
 63001 ; Quindio ; Armenia ;55,17;3,08;61,02;92,69;84,57;49,59;78,14
 19300 ; Cauca ; Guachené ;32,60;12,72;44,16;88,95;78,08;54,01;78,04
 08296 ; Atlántico ; Galapa ;37,39;2,36;53,41;64,08;91,27;62,96;78,00
 66170 ; Risaralda ; Dosquebradas ;35,32;6,44;63,64;88,14;85,57;58,70;77,96
 25290 ; Cundinamarca ; Fusagasugá ;39,07;0,00;68,62;84,06;87,29;58,42;77,92
 68575 ; Santander ; Puerto Wilches ;55,66;0,75;74,39;86,22;92,50;57,03;77,89
 05237 ; Antioquia ; Don Matías ;35,00;4,55;42,65;62,36;83,56;63,87;77,87
 68077 ; Santander ; Barbosa ;47,02;1,36;58,46;81,87;87,14;51,78;77,86
 25320 ; Cundinamarca ; Guaduas ;51,90;1,64;54,18;80,67;87,33;48,40;77,80
 20400 ; Cesar ; La Jagua de Ibirico ;45,69;0,00;90,40;86,35;95,83;67,94;77,78
 81001 ; Arauca ; Arauca ;63,68;0,00;73,02;82,78;94,14;55,15;77,66
 05148 ; Antioquia ; El Carmen de Viboral ;48,78;4,17;41,36;72,54;81,16;52,58;77,65
 05154 ; Antioquia ; Caucasia ;53,28;3,41;65,51;82,85;90,09;55,08;77,55
 15572 ; Boyacá ; Puerto Boyacá ;42,41;0,77;65,08;77,32;83,75;63,93;77,51
 15494 ; Boyacá ; Nuevo Colón ;36,00;0,62;66,11;67,71;89,56;68,05;77,41
 86568 ; Putumayo ; Puerto Asís ;66,05;4,19;74,31;97,31;93,29;45,22;77,38
 70221 ; Sucre ; Coveñas ;59,02;0,00;84,20;86,98;94,38;59,66;77,32
 25899 ; Cundinamarca ; Zipaquirá ;48,00;12,03;45,89;69,62;85,37;62,83;77,32
 25326 ; Cundinamarca ; Guatavita ;50,49;0,00;39,99;58,57;88,54;50,87;77,30
 85410 ; Casanare ; Tauramena ;64,11;0,00;62,72;85,57;86,34;47,80;77,29
 08758 ; Atlántico ; Soledad ;53,07;0,00;80,03;99,57;91,50;44,79;77,24
 41001 ; Huila ; Neiva ;47,51;7,54;63,92;87,49;87,11;54,32;77,18
 19845 ; Cauca ; Villa Rica ;41,71;11,02;45,09;85,86;77,87;50,94;77,18
 76890 ; Valle Del Cauca ; Yotoco ;28,06;2,15;45,98;63,67;82,08;59,89;77,12
 23079 ; Córdoba ; Buenavista ;52,30;3,03;76,23;75,11;92,88;67,35;77,03
 68689 ; Santander ; San Vicente de Chucurí ;74,73;0,93;53,03;73,54;89,83;46,27;77,03
 05686 ; Antioquia ; Santa Rosa de Osos ;66,16;4,28;37,55;76,19;82,65;39,20;76,99
 23001 ; Córdoba ; Montería ;35,95;1,09;76,09;73,39;93,27;65,85;76,96
 23555 ; Córdoba ; Planeta Rica ;68,37;0,00;69,28;84,69;93,09;46,01;76,96
 85010 ; Casanare ; Aguazul ;67,20;0,00;75,12;89,19;89,90;50,46;76,93
 25841 ; Cundinamarca ; Ubaque ;63,96;0,00;60,51;66,85;90,72;57,90;76,88
 17873 ; Caldas ; Villamaría ;33,93;6,69;64,28;82,03;83,70;61,10;76,88
 44279 ; La Guajira ; Fonseca ;27,46;0,00;67,50;55,39;94,74;72,33;76,83
 76233 ; Valle Del Cauca ; Dagua ;45,58;0,00;73,31;84,07;87,48;55,60;76,78
 68755 ; Santander ; Socorro ;37,35;3,63;52,53;66,03;83,87;61,59;76,77
 50318 ; Meta ; Guamal ;52,93;23,20;21,16;82,24;80,27;39,46;76,75
 44001 ; La Guajira ; Riohacha ;36,08;0,00;91,71;86,99;96,33;60,63;76,62
 05756 ; Antioquia ; Sonson ;50,41;4,32;57,12;80,40;83,62;51,10;76,60
 76130 ; Valle Del Cauca ; Candelaria ;46,63;6,11;48,72;90,65;73,17;44,99;76,57
 73268 ; Tolima ; Espinal ;53,90;7,33;55,68;81,37;82,78;52,85;76,56
 73443 ; Tolima ; Mariquita ;64,84;4,06;66,73;84,07;83,58;56,18;76,51
 54001 ; Norte De Santander ; Cúcuta ;42,77;8,04;73,81;84,41;90,50;60,09;76,50
 15367 ; Boyacá ; Jenesano ;57,60;6,02;66,40;69,48;87,92;68,41;76,46
 05079 ; Antioquia ; Barbosa ;63,30;6,55;50,66;85,81;82,56;40,97;76,34
 54498 ; Norte De Santander ; Ocaña ;56,52;6,37;51,50;68,09;91,33;50,77;76,34
 68418 ; Santander ; Los Santos ;37,19;2,05;60,98;67,09;86,01;61,98;76,32
 41885 ; Huila ; Yaguará ;64,48;1,80;59,99;77,49;86,88;48,73;76,30
 73200 ; Tolima ; Coello ;3,60;1,63;65,10;70,05;86,95;61,41;76,30
 25572 ; Cundinamarca ; Puerto Salgar ;44,37;1,01;58,06;77,74;80,56;52,06;76,25
 25875 ; Cundinamarca ; Villeta ;56,36;7,63;39,07;56,82;79,02;63,91;76,21
 25260 ; Cundinamarca ; El Rosal ;34,76;9,70;43,19;62,71;81,57;61,58;76,21
 68573 ; Santander ; Puerto Parra ;32,99;6,43;59,80;64,85;86,21;67,21;76,19
 15469 ; Boyacá ; Moniquirá ;49,90;2,59;61,52;77,73;86,65;50,48;76,19
 15646 ; Boyacá ; Samacá ;23,37;0,85;66,99;64,44;87,47;66,97;76,18
 50680 ; Meta ; San Carlos de Guaroa ;44,62;5,93;50,45;84,39;72,78;51,03;76,18
 15897 ; Boyacá ; Zetaquira ;30,62;3,77;57,95;61,31;86,92;65,03;76,17
