Departamento;Casos
Bogotá;1633
Norte de Santander;471
Atlántico;373
Sucre;278
Antioquia;250
Nariño;241
Valle del Cauca;241
Cesar;235
Huila;233
Boyacá;208
Córdoba;189
La Guajira;184
Magdalena;174
Caldas;170
Tolima;169
Cundinamarca;167
Arauca;167
Bolívar;142
Chocó;136
Santander;128
Risaralda;121
Putumayo;116
Caquetá;106
Quindío;98
Casanare;90
Meta;90
Cauca;79
Amazonas;18
San Andrés y Providencia;15
Guainía;11
Vichada;9
Guaviare;5
