"año";"hombres";"mujeres"
1932;1;0
1936;5;0
1948;6;0
1956;26;0
1960;16;0
1964;20;0
1968;38;5
1972;55;4
1976;32;3
1980;26;0
1984;36;3
1988;34;6
1992;46;3
1996;39;9
2000;25;19
2004;32;21
2008;43;24
2012;46;58
2016;74;73
