"X";"Y";"Thk"
6000;14000;36,3979927563704
7000;14000;36,6516137061406
8000;14000;36,9052346559107
9000;14000;37,1588556056809
10000;14000;37,4124765554511
11000;14000;37,6660975052213
12000;14000;37,9197184549914
13000;14000;38,1733394047616
14000;14000;38,4269603545318
15000;14000;38,680581304302
16000;14000;38,9342022540721
17000;14000;39,1878232038423
18000;14000;39,4414441536125
19000;14000;39,6950651033827
20000;14000;39,9486860531529
0;15000;35,6831097285811
1000;15000;35,9012149015234
2000;15000;36,1193200744658
3000;15000;36,3374252474082
4000;15000;36,5555304203505
5000;15000;36,7736355932929
6000;15000;36,9917407662353
7000;15000;37,2098459391776
8000;15000;37,42795111212
9000;15000;37,6460562850623
10000;15000;37,8641614580047
11000;15000;38,0822666309471
12000;15000;38,3003718038894
13000;15000;38,5184769768318
14000;15000;38,7365821497742
15000;15000;38,9546873227165
16000;15000;39,1727924956589
17000;15000;39,3908976686012
18000;15000;39,6090028415436
19000;15000;39,827108014486
20000;15000;40,0452131874283
0;16000;36,4899523994129
1000;16000;36,6725417955274
2000;16000;36,855131191642
3000;16000;37,0377205877565
4000;16000;37,2203099838711
5000;16000;37,4028993799856
6000;16000;37,5854887761001
7000;16000;37,7680781722147
8000;16000;37,9506675683292
9000;16000;38,1332569644438
10000;16000;38,3158463605583
11000;16000;38,4984357566729
12000;16000;38,6810251527874
13000;16000;38,863614548902
14000;16000;39,0462039450165
15000;16000;39,2287933411311
16000;16000;39,4113827372456
17000;16000;39,5939721333602
18000;16000;39,7765615294747
19000;16000;39,9591509255892
20000;16000;40,1417403217038
