"X";"Y";"Thk"
0;0;23,5804696661045
1000;0;24,3313114914641
2000;0;25,0821533168237
3000;0;25,8329951421833
4000;0;26,5838369675429
5000;0;27,3346787929025
6000;0;28,085520618262
7000;0;28,8363624436216
8000;0;29,5872042689812
9000;0;30,3380460943408
10000;0;31,0888879197004
11000;0;31,83972974506
12000;0;32,5905715704196
13000;0;33,3414133957792
14000;0;34,0922552211387
15000;0;34,8430970464983
16000;0;35,5939388718579
17000;0;36,3447806972175
18000;0;37,0956225225771
19000;0;37,8464643479367
20000;0;38,5973061732963
0;1000;24,3873123369363
1000;1000;25,1026383854681
2000;1000;25,8179644339998
3000;1000;26,5332904825316
4000;1000;27,2486165310634
5000;1000;27,9639425795951
6000;1000;28,6792686281269
7000;1000;29,3945946766587
8000;1000;30,1099207251905
9000;1000;30,8252467737222
10000;1000;31,540572822254
11000;1000;32,2558988707858
12000;1000;32,9712249193176
13000;1000;33,6865509678493
14000;1000;34,4018770163811
15000;1000;35,1172030649129
16000;1000;35,8325291134447
17000;1000;36,5478551619764
18000;1000;37,2631812105082
19000;1000;37,97850725904
20000;1000;38,6938333075717
0;2000;25,1941550077681
1000;2000;25,873965279472
2000;2000;26,553775551176
3000;2000;27,2335858228799
4000;2000;27,9133960945839
5000;2000;28,5932063662878
6000;2000;29,2730166379918
7000;2000;29,9528269096958
8000;2000;30,6326371813997
9000;2000;31,3124474531037
10000;2000;31,9922577248076
11000;2000;32,6720679965116
12000;2000;33,3518782682156
13000;2000;34,0316885399195
14000;2000;34,7114988116235
15000;2000;35,3913090833274
16000;2000;36,0711193550314
17000;2000;36,7509296267353
18000;2000;37,4307398984393
19000;2000;38,1105501701433
20000;2000;38,7903604418472
0;3000;26,0009976785998
1000;3000;26,645292173476
2000;3000;27,2895866683521
3000;3000;27,9338811632283
4000;3000;28,5781756581044
5000;3000;29,2224701529805
6000;3000;29,8667646478567
7000;3000;30,5110591427328
8000;3000;31,155353637609
9000;3000;31,7996481324851
10000;3000;32,4439426273613
11000;3000;33,0882371222374
12000;3000;33,7325316171135
13000;3000;34,3768261119897
14000;3000;35,0211206068658
15000;3000;35,665415101742
16000;3000;36,3097095966181
17000;3000;36,9540040914943
18000;3000;37,5982985863704
19000;3000;38,2425930812465
20000;3000;38,8868875761227
0;4000;26,8078403494316
1000;4000;27,4166190674799
2000;4000;28,0253977855283
3000;4000;28,6341765035766
4000;4000;29,2429552216249
5000;4000;29,8517339396732
6000;4000;30,4605126577216
7000;4000;31,0692913757699
8000;4000;31,6780700938182
9000;4000;32,2868488118665
10000;4000;32,8956275299149
11000;4000;33,5044062479632
12000;4000;34,1131849660115
13000;4000;34,7219636840599
14000;4000;35,3307424021082
15000;4000;35,9395211201565
16000;4000;36,5482998382048
17000;4000;37,1570785562532
18000;4000;37,7658572743015
19000;4000;38,3746359923498
20000;4000;38,9834147103982
0;5000;27,6146830202634
1000;5000;28,1879459614839
2000;5000;28,7612089027044
3000;5000;29,3344718439249
4000;5000;29,9077347851454
5000;5000;30,4809977263659
6000;5000;31,0542606675865
7000;5000;31,627523608807
8000;5000;32,2007865500275
