timestamp,value
1487321650748,465.0
1487321650749,465.0
1487321650813,466.0
1487321650872,466.0
1487321650877,463.0
1487321650946,462.0
1487321650979,462.0
1487321651010,464.0
1487321651080,464.0
1487321651143,459.0
1487321651181,459.0
1487321651209,463.0
1487321651283,463.0
1487321651392,463.0
1487321651493,463.0
1487321651550,461.0
1487321651593,461.0
1487321651611,463.0
1487321651705,463.0
1487321651743,462.0
1487321651806,462.0
1487321651876,461.0
1487321651906,461.0
1487321651945,458.0
1487321652018,461.0
1487321652026,461.0
1487321652126,461.0
1487321652227,461.0
1487321652277,459.0
1487321652328,459.0
1487321652349,450.0
1487321652413,448.0
1487321652429,448.0
1487321652477,449.0
1487321652531,449.0
1487321652610,444.0
1487321652647,444.0
1487321652679,446.0
1487321652744,455.0
1487321652750,455.0
1487321652810,465.0
1487321652851,465.0
1487321652877,479.0
1487321652951,479.0
1487321653010,490.0
1487321653059,490.0
1487321653077,505.0
1487321653143,507.0
1487321653166,507.0
1487321653210,511.0
1487321653266,511.0
1487321653343,519.0
1487321653366,519.0
1487321653416,521.0
1487321653466,521.0
1487321653479,562.0
1487321653545,571.0
1487321653580,571.0
1487321653610,562.0
1487321653681,562.0
1487321653744,633.0
1487321653780,633.0
1487321653812,687.0
1487321653880,707.0
1487321653886,707.0
1487321653943,681.0
1487321653986,681.0
1487321654010,655.0
1487321654087,655.0
1487321654143,596.0
1487321654187,596.0
1487321654213,559.0
1487321654277,562.0
1487321654288,562.0
1487321654343,576.0
1487321654387,576.0
1487321654476,622.0
1487321654487,622.0
1487321654543,675.0
1487321654587,675.0
1487321654609,782.0
1487321654677,887.0
1487321654690,887.0
1487321654744,923.0
1487321654793,923.0
1487321654879,900.0
1487321654893,900.0
1487321654943,839.0
1487321654994,839.0
1487321655010,797.0
1487321655077,742.0
1487321655101,742.0
1487321655209,742.0
1487321655211,730.0
1487321655276,703.0
1487321655311,703.0
1487321655347,692.0
1487321655410,691.0
1487321655413,691.0
1487321655477,593.0
1487321655519,593.0
1487321655611,574.0
1487321655620,574.0
1487321655682,573.0
1487321655720,573.0
1487321655743,569.0
1487321655810,568.0
1487321655820,568.0
1487321655921,568.0
1487321656010,565.0
1487321656030,565.0
1487321656076,568.0
1487321656129,568.0
1487321656143,569.0
1487321656217,571.0
1487321656230,571.0
1487321656331,571.0
1487321656343,568.0
1487321656413,566.0
1487321656431,566.0
1487321656476,569.0
1487321656532,569.0
1487321656633,569.0
1487321656734,569.0
1487321656745,565.0
1487321656811,570.0
1487321656834,570.0
1487321656887,568.0
1487321656934,568.0
1487321657035,568.0
1487321657136,568.0
1487321657144,567.0
1487321657210,568.0
1487321657236,568.0
1487321657337,568.0
1487321657437,568.0
1487321657480,566.0
1487321657538,566.0
1487321657543,567.0
1487321657610,569.0
1487321657639,569.0
1487321657740,569.0
1487321657810,567.0
1487321657841,567.0
1487321657876,566.0
1487321657946,569.0
1487321658010,568.0
1487321658046,568.0
1487321658146,568.0
1487321658210,569.0
1487321658246,569.0
1487321658278,568.0
1487321658346,566.0
1487321658351,566.0
1487321658410,568.0
1487321658452,568.0
1487321658476,569.0
1487321658553,569.0
1487321658610,568.0
1487321658653,568.0
1487321658676,569.0
1487321658743,566.0
1487321658759,566.0
1487321658810,567.0
1487321658860,567.0
1487321658944,569.0
1487321658961,569.0
1487321659061,569.0
1487321659145,566.0
1487321659161,566.0
1487321659210,568.0
1487321659262,568.0
1487321659345,569.0
1487321659363,569.0
1487321659462,569.0
1487321659476,568.0
1487321659546,566.0
1487321659563,566.0
1487321659668,566.0
1487321659679,568.0
1487321659768,568.0
1487321659869,568.0
1487321659878,569.0
1487321659943,566.0
1487321659969,566.0
1487321660070,566.0
1487321660076,568.0
1487321660171,568.0
1487321660210,569.0
1487321660271,569.0
1487321660343,566.0
1487321660372,566.0
1487321660472,566.0
1487321660476,567.0
1487321660549,569.0
1487321660573,569.0
1487321660673,569.0
1487321660680,568.0
1487321660773,568.0
1487321660810,566.0
1487321660875,566.0
1487321660876,568.0
1487321660943,569.0
1487321660976,569.0
1487321661015,570.0
1487321661078,570.0
1487321661178,570.0
1487321661212,567.0
1487321661276,566.0
1487321661294,566.0
1487321661343,568.0
1487321661395,568.0
1487321661496,568.0
1487321661596,568.0
1487321661686,566.0
1487321661701,566.0
1487321661744,568.0
1487321661803,568.0
1487321661810,569.0
1487321661903,569.0
1487321661943,568.0
1487321662006,568.0
1487321662010,569.0
1487321662076,566.0
1487321662107,566.0
1487321662143,568.0
1487321662207,568.0
1487321662315,568.0
1487321662343,569.0
1487321662416,569.0
1487321662478,567.0
1487321662516,567.0
1487321662547,566.0
1487321662617,566.0
1487321662676,569.0
1487321662726,569.0
1487321662743,568.0
1487321662830,568.0
1487321662876,569.0
1487321662929,569.0
1487321662946,566.0
1487321663030,566.0
1487321663077,569.0
1487321663130,569.0
1487321663147,568.0
1487321663238,568.0
1487321663277,566.0
1487321663339,566.0
1487321663410,567.0
1487321663439,567.0
1487321663476,568.0
1487321663540,568.0
1487321663543,569.0
1487321663642,569.0
1487321663676,568.0
1487321663742,568.0
1487321663814,567.0
1487321663843,567.0
1487321663877,565.0
1487321663943,565.0
1487321663945,569.0
1487321664053,569.0
1487321664150,568.0
1487321664152,568.0
1487321664253,568.0
1487321664276,569.0
1487321664343,567.0
1487321664354,567.0
1487321664410,569.0
1487321664455,569.0
1487321664544,568.0
1487321664556,568.0
1487321664618,569.0
1487321664656,569.0
1487321664756,569.0
1487321664856,569.0
1487321664876,568.0
1487321664943,566.0
1487321664957,566.0
1487321665010,568.0
1487321665057,568.0
1487321665076,569.0
1487321665144,568.0
1487321665169,568.0
1487321665269,568.0
1487321665279,569.0
1487321665348,570.0
1487321665370,570.0
1487321665412,568.0
1487321665470,568.0
1487321665479,566.0
1487321665543,568.0
1487321665570,568.0
1487321665680,568.0
1487321665743,569.0
1487321665782,569.0
1487321665877,570.0
1487321665887,570.0
1487321665992,570.0
1487321666010,568.0
1487321666083,565.0
1487321666093,565.0
1487321666143,568.0
1487321666193,568.0
1487321666277,569.0
1487321666293,569.0
1487321666394,569.0
1487321666418,568.0
1487321666478,569.0
1487321666494,569.0
1487321666594,569.0
1487321666694,569.0
1487321666753,566.0
1487321666795,566.0
1487321666812,565.0
1487321666880,568.0
1487321666898,568.0
1487321666943,569.0
1487321666998,569.0
1487321667010,568.0
1487321667098,568.0
1487321667143,569.0
1487321667199,569.0
1487321667210,570.0
1487321667283,568.0
1487321667301,568.0
1487321667401,568.0
1487321667503,568.0
1487321667605,568.0
1487321667676,569.0
1487321667715,569.0
1487321667816,569.0
1487321667877,565.0
1487321667916,565.0
1487321667944,568.0
1487321668010,569.0
1487321668030,569.0
1487321668130,569.0
1487321668145,568.0
1487321668230,568.0
1487321668330,568.0
1487321668344,566.0
1487321668410,569.0
1487321668432,569.0
1487321668533,569.0
1487321668610,568.0
1487321668634,568.0
1487321668736,568.0
1487321668810,566.0
1487321668837,566.0
1487321668876,569.0
1487321668940,569.0
1487321669010,568.0
1487321669041,568.0
1487321669077,569.0
1487321669142,569.0
1487321669210,568.0
1487321669257,568.0
1487321669344,566.0
1487321669358,566.0
1487321669419,568.0
1487321669459,568.0
1487321669476,569.0
1487321669546,568.0
1487321669562,568.0
1487321669663,568.0
1487321669743,566.0
1487321669766,566.0
1487321669867,566.0
1487321669876,569.0
1487321669943,568.0
1487321669967,568.0
1487321670067,568.0
1487321670168,568.0
1487321670269,568.0
1487321670277,566.0
1487321670343,568.0
1487321670370,568.0
1487321670470,568.0
1487321670574,568.0
1487321670675,568.0
1487321670688,569.0
1487321670743,568.0
1487321670776,568.0
1487321670885,566.0
1487321670952,571.0
1487321670985,571.0
1487321671011,569.0
1487321671086,569.0
1487321671204,569.0
1487321671305,569.0
1487321671343,568.0
1487321671405,568.0
1487321671477,570.0
1487321671506,570.0
1487321671606,570.0
1487321671610,569.0
1487321671707,569.0
1487321671808,569.0
1487321671909,569.0
1487321671943,567.0
1487321672009,567.0
1487321672010,569.0
1487321672110,569.0
1487321672211,569.0
1487321672312,569.0
1487321672345,566.0
1487321672410,568.0
1487321672426,568.0
1487321672487,569.0
1487321672527,569.0
1487321672610,570.0
