"x";"y"
28,8;95,8
30,3;102,1
34,2;122,6
29,8;146,7
30,3;159,7
24,6;177,5
25,6;160,2
34,2;190,3
34,8;209
39,4;229,8
35,9;254,8
29,3;270,4
21,1;357,9
22,9;365,3
35,8;468,2
9,2;72,3
1,8;167,5
10,8;163
4,8;219,4
11,9;209,1
16,8;218
7,5;238,9
7,4;223,5
9,2;265,7
4;428,3
2,5;479,8
73,7;436,9
120,1;253,8
796,4;409,9
877,6;256,1
