;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
COLOMBIA. Necesidades Básicas Insatisfechas - NBI, por total, cabecera y resto, según municipio y nacional.;;;;;;;;;;
 A JUNIO 2012;;;;;;;;;;
RESULTADOS CENSO GENERAL 2005;;;;;;;;;;
;;;;;;;;;;
Cod Depto;Nombre Departamento;Cod Mpio;Nombre Municipio;Personas en NBI;;;;;;Nota Aclaratoria
;;;;Cabecera ;;Resto ;;Total ;;
;;;;Prop (%);cve (%);Prop (%);cve (%);Prop (%);cve (%);
05;ANTIOQUIA;400;LA UNION;11,89;8,53;25,71;9,45;18,40;6,87;
05;ANTIOQUIA;411;LIBORINA;16,12;-;39,88;-;35,23;-;
05;ANTIOQUIA;425;MACEO;21,36;-;44,48;-;35,42;-;
05;ANTIOQUIA;440;MARINILLA;9,31;9,70;27,87;-;14,56;4,45;
05;ANTIOQUIA;467;MONTEBELLO;24,10;-;37,60;-;33,97;-;
05;ANTIOQUIA;475;MURINDO;98,23;-;96,65;-;97,08;-;
05;ANTIOQUIA;480;MUTATA;43,24;-;74,85;-;60,74;-;
05;ANTIOQUIA;483;NARIÑO;25,11;-;37,65;-;34,22;-;
05;ANTIOQUIA;490;NECOCLI;47,22;3,17;87,23;2,33;77,80;2,05;
05;ANTIOQUIA;495;NECHI;62,40;-;76,67;-;68,13;-;
05;ANTIOQUIA;501;OLAYA;58,42;-;38,62;-;40,63;-;
05;ANTIOQUIA;541;PEÐOL;10,18;9,33;33,34;7,76;21,53;6,30;
05;ANTIOQUIA;543;PEQUE;36,26;-;84,44;-;74,51;-;
05;ANTIOQUIA;576;PUEBLORRICO;23,39;-;36,60;-;30,02;-;
05;ANTIOQUIA;579;PUERTO BERRIO;36,96;4,56;48,83;-;38,43;3,85;
05;ANTIOQUIA;585;PUERTO NARE;30,84;3,33;32,65;-;31,94;1,26;
05;ANTIOQUIA;591;PUERTO TRIUNFO;48,80;2,75;27,51;2,24;33,65;1,74;
05;ANTIOQUIA;604;REMEDIOS;36,99;-;54,51;-;47,56;-;
05;ANTIOQUIA;607;RETIRO;10,00;9,31;14,25;13,21;12,20;8,79;
05;ANTIOQUIA;615;RIONEGRO;7,99;13,76;21,09;12,68;12,46;9,35;
05;ANTIOQUIA;628;SABANALARGA;42,74;-;68,43;-;60,28;-;
05;ANTIOQUIA;631;SABANETA;4,84;15,37;14,48;11,91;6,84;10,08;
05;ANTIOQUIA;642;SALGAR;32,65;-;43,19;-;38,58;-;
05;ANTIOQUIA;647;SAN ANDRES DE CUERQUIA;30,37;-;44,88;-;37,24;-;
05;ANTIOQUIA;649;SAN CARLOS;27,76;-;36,48;-;32,41;-;
05;ANTIOQUIA;652;SAN FRANCISCO;41,64;-;54,60;-;49,92;-;
05;ANTIOQUIA;656;SAN JERONIMO;17,13;5,89;41,92;5,30;34,40;4,59;
05;ANTIOQUIA;658;SAN JOSE DE LA MONTAÑA;22,96;-;18,53;-;21,52;-;
05;ANTIOQUIA;659;SAN JUAN DE URABA;58,40;3,48;83,93;2,08;75,86;1,79;
05;ANTIOQUIA;660;SAN LUIS;18,52;-;45,03;-;33,57;-;
05;ANTIOQUIA;664;SAN PEDRO;11,00;8,15;24,54;9,06;17,87;6,78;
05;ANTIOQUIA;665;SAN PEDRO DE URABA;70,13;4,03;92,57;7,74;82,50;5,03;
05;ANTIOQUIA;667;SAN RAFAEL;24,32;-;45,24;-;35,10;-;
05;ANTIOQUIA;670;SAN ROQUE;27,61;-;43,25;-;38,12;-;
05;ANTIOQUIA;674;SAN VICENTE;20,34;4,62;35,22;-;29,92;1,12;
05;ANTIOQUIA;679;SANTA BARBARA;18,83;6,85;36,45;6,29;28,46;4,86;
05;ANTIOQUIA;686;SANTA ROSA DE OSOS;10,55;7,70;35,02;6,12;23,52;5,09;
05;ANTIOQUIA;690;SANTO DOMINGO;17,80;-;31,67;-;29,07;-;
05;ANTIOQUIA;697;EL SANTUARIO;15,63;8,03;37,07;-;20,73;4,61;
05;ANTIOQUIA;736;SEGOVIA;35,52;4,25;66,54;2,04;41,37;3,02;
05;ANTIOQUIA;756;SONSON;19,51;8,14;43,83;6,69;33,75;5,45;
05;ANTIOQUIA;761;SOPETRAN;19,75;5,64;44,58;4,69;33,55;3,76;
05;ANTIOQUIA;789;TAMESIS;21,44;-;32,68;-;28,25;-;
05;ANTIOQUIA;790;TARAZA;62,02;2,65;61,90;5,15;61,97;2,57;
05;ANTIOQUIA;792;TARSO;36,90;-;40,60;-;38,94;-;
05;ANTIOQUIA;809;TITIRIBI;18,84;-;37,38;-;27,78;-;
05;ANTIOQUIA;819;TOLEDO;26,94;-;57,80;-;50,47;-;
05;ANTIOQUIA;837;TURBO;57,49;2,69;73,67;3,33;67,38;2,40;
05;ANTIOQUIA;842;URAMITA;37,19;-;73,79;-;63,59;-;
05;ANTIOQUIA;847;URRAO;27,49;5,59;53,25;6,71;40,20;4,79;
05;ANTIOQUIA;854;VALDIVIA;42,98;-;59,40;-;54,49;-;
05;ANTIOQUIA;856;VALPARAISO;22,20;-;30,47;-;26,25;-;
05;ANTIOQUIA;858;VEGACHI;28,96;5,95;70,11;4,72;46,33;3,70;
05;ANTIOQUIA;861;VENECIA;26,80;-;25,34;-;26,01;-;
05;ANTIOQUIA;873;VIGIA DEL FUERTE;58,74;-;74,50;-;68,35;-;
05;ANTIOQUIA;885;YALI;20,67;-;66,35;-;44,94;-;
05;ANTIOQUIA;887;YARUMAL;25,92;5,11;40,71;9,42;28,26;4,49;
05;ANTIOQUIA;890;YOLOMBO;22,18;-;48,47;5,27;40,63;4,41;
