Tabla 2. Recuento microorganismos viables (UFC/g suelo).;;;;;;;;;;;;;;;;;;
;Muestra;;;;;;;;;;;;;;;;;
;1;;;;;;2;;;;;;3;;;;;
;Medio A;;;Medio B;;;Medio A;;;Medio B;;;Medio A;;;Medio B;;
Dilusion;3;4;5;3;4;5;3;4;5;3;4;5;3;4;5;3;4;5
Finca1;6  11  9;2  0  1;0 0 0;48 32 25;1 1 0;0 0 0;7 9 9;3 2 1;1 1 0;8 8 17;2 4 3;1 1 0;26 30 16;4 3 4;0 2 1;27 10 20;4 1 7;0 0 2
Finca2;NR;NR;1 1 1;NR;NR;0 2 0;3 10 6;0 1 2;0 0 0;7 3 2;1 1 0;0 0 0;21 22 28;2 5 6;0 0 0;31 35 30;5 4 4 ;0 0 1
Finca3;NR;NR;1 2 0;NR;NR;0 0 1;21 20 15;2 1 1;0 0 0;7 13 9;0 1 2;0 1 0;51 46 41;6 6 5;1 2 0;17 18 7;2 2 1;0 0 0
Finca4;11  8  14;3  2  1;1 2 1;15 12 12;4 6 5;2 2 1;11 8 9;2 1 0;1 1 0;5 10 7;2 2 2;0 1 0;13 6 15;0 3 0;0 0 0;12 5 7;6 1 3;1 0 1
